vehicle_weight_category,fuel_category,fuel_subcategory,lcod_case,fuel_pathway,fuel_scenario,fuel_pathway_2,fuel_scenario_2,energy_source,grid_scenario,metric_type,metric,units,dollar_year,value,notes_display,reference,reference_url,notes_display_2,reference_2,reference_url_2,pathway,vehicle_class,greet_class,greet_pathway,simulation_year,greet_notes,notes,greet_pathway_2,greet_notes_2,notes_2
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel ATJ-Ethanol from Corn,"Future Modeled, High Volume",,,,Default,Price,Fuel Price,$/gge,2022.0,5.14881225896447,"Updated costs and updated feedstocks costs, onstream factor, 80 gal/dry ton biomass ethanol yield and tax rate.",Tao et al. 2014; Tao et al. 2017a,https://www.osti.gov/biblio/1129271; https://pubs.rsc.org/en/content/articlelanding/2017/GC/C6GC02800D ,,,,,,,,,,,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel Blendstock FP from Forest Residue,"Future Modeled, High Volume",,,,Default,Price,Fuel Price,$/gge,2022.0,3.3420042873553784,,Dutta et al. 2020; Dutta et al. 2023,"https://www.nrel.gov/docs/fy21osti/80291.pdf, https://doi.org/10.1016/j.cej.2022.138485",,,,,,,,,,,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel Blendstock FT (FTD100) from Forest Residue,"Future Modeled, High Volume",,,,Default,Price,Fuel Price,$/gge,2022.0,5.105204401238421,,Tan et al. 2017,https://onlinelibrary.wiley.com/doi/10.1002/bbb.1710,,,,,,,,,,,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel Blendstock HEFA (Jet) from Algae,"Future Modeled, High Volume",,,,Default,Price,Fuel Price,$/gge,2022.0,10.628282185935833,,Atnoorkar et al. 2024,https://doi.org/10.1002/bbb.2623,,,,,,,,,,,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel Blendstock HEFA (RD100) from Used Cooking Oil,"Future Modeled, High Volume",,,,Default,Price,Fuel Price,$/gge,2022.0,6.034602344588097,Assumed value of 5. Converted MJSP values to gge based on https://www.eia.gov/totalenergy/data/monthly/pdf/sec12_9.pdf,Tao et al. 2017b,https://doi.org/10.1186/s13068-017-0945-3,,,,,,,,,,,,,
Aviation,Aviation,Conventional Jet Fuel,,Conventional Jet Fuel,,,,,Default,Emissions,NOX Emissions WTT,g/mmBtu,,15.63430133,,"ANL, GREET (Wang et al. 2023)",R&D GREET 2023 Rev1,,,,,,,Conventional Jet Fuel,2022.0,GREET: Conventional Jet Fuel [JetFuel_WTP],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel ATJ-Ethanol from Corn,,,,,Default,Emissions,NOX Emissions WTT,g/mmBtu,,104.2870446,,"ANL, GREET (Wang et al. 2023)",R&D GREET 2023 Rev1,,,,,,,Jet ATJ-ethanol from corn grain (standalone facilities),2022.0,GREET: Corn Dry Mill w/ extraction ATJ-E (Standalone) [JetFuel_WTP],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel Blendstock FP from Forest Residue,,,,,Default,Emissions,NOX Emissions WTT,g/mmBtu,,44.70441589,,Dutta et al. 2023,https://doi.org/10.1016/j.cej.2022.138485,,,,,,,Biofuel Blendstock Ex situ Fast Pyrolysis (Diesel) from Forest Residue and Clean Pine with Chemical Coproducts and Refinery Co-hydroprocessing ,2022.0,GREET: Ex Situ Catalytic Fast Pyrolysis [Pyrolysis_IDL],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel Blendstock FT (FTD100) from Forest Residue,,,,,Default,Emissions,NOX Emissions WTT,g/mmBtu,,20.21381562,,Han et al. 2013,https://doi.org/10.1016/j.biortech.2013.07.153,,,,,,,Biofuel FT (Jet) from Forest Residue,2022.0,GREET: Forest Residue FT [JetFuel_WTP],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel Blendstock HEFA (RD100) from Used Cooking Oil,,,,,Default,Emissions,NOX Emissions WTT,g/mmBtu,,15.73450061,,Xu et al. 2022,https://pubs.acs.org/doi/10.1021/acs.est.2c00289,,,,,,,Biofuel HEFA (Jet) from used cooking oil,2022.0,GREET: UCO HEFA [JetFuel_WTP],,,,
Aviation,Aviation,Conventional Jet Fuel,,Conventional Jet Fuel,,,,,Default,Emissions,NOX Emissions WTWake,g/mmBtu,,256.958245,,"ANL, GREET (Wang et al. 2023)",R&D GREET 2023 Rev1,,,,,,,Conventional Jet Fuel,2022.0,GREET: Conventional Jet Fuel [JetFuel_WTP],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel ATJ-Ethanol from Corn,,,,,Default,Emissions,NOX Emissions WTWake,g/mmBtu,,317.4025155,,"ANL, GREET (Wang et al. 2023)",R&D GREET 2023 Rev1,,,,,,,Jet ATJ-ethanol from corn grain (standalone facilities),2022.0,GREET: Corn Dry Mill w/ extraction ATJ-E (Standalone) [JetFuel_WTP],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel Blendstock FT (FTD100) from Forest Residue,,,,,Default,Emissions,NOX Emissions WTWake,g/mmBtu,,233.3292865,,Han et al. 2013,https://doi.org/10.1016/j.biortech.2013.07.153,,,,,,,Biofuel FT (Jet) from Forest Residue,2022.0,GREET: Forest Residue FT [JetFuel_WTP],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel Blendstock HEFA (RD100) from Used Cooking Oil,,,,,Default,Emissions,NOX Emissions WTWake,g/mmBtu,,228.8499715,,Xu et al. 2022,https://pubs.acs.org/doi/10.1021/acs.est.2c00289,,,,,,,Biofuel HEFA (Jet) from used cooking oil,2022.0,GREET: UCO HEFA [JetFuel_WTP],,,,
Aviation,Aviation,Conventional Jet Fuel,,Conventional Jet Fuel,,,,,Default,Emissions,PM Emissions WTT,g/mmBtu,,0.980386191,,"ANL, GREET (Wang et al. 2023)",R&D GREET 2023 Rev1,,,,,,,Conventional Jet Fuel,2022.0,GREET: Conventional Jet Fuel [JetFuel_WTP],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel ATJ-Ethanol from Corn,,,,,Default,Emissions,PM Emissions WTT,g/mmBtu,,17.26343363,,"ANL, GREET (Wang et al. 2023)",R&D GREET 2023 Rev1,,,,,,,Jet ATJ-ethanol from corn grain (standalone facilities),2022.0,GREET: Corn Dry Mill w/ extraction ATJ-E (Standalone) [JetFuel_WTP],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel Blendstock FP from Forest Residue,,,,,Default,Emissions,PM Emissions WTT,g/mmBtu,,2.945640636,,Dutta et al. 2023,https://doi.org/10.1016/j.cej.2022.138485,,,,,,,Biofuel Blendstock Ex situ Fast Pyrolysis (Diesel) from Forest Residue and Clean Pine with Chemical Coproducts and Refinery Co-hydroprocessing ,2022.0,GREET: Ex Situ Catalytic Fast Pyrolysis [Pyrolysis_IDL],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel Blendstock FT (FTD100) from Forest Residue,,,,,Default,Emissions,PM Emissions WTT,g/mmBtu,,2.019523417,,Han et al. 2013,https://doi.org/10.1016/j.biortech.2013.07.153,,,,,,,Biofuel FT (Jet) from Forest Residue,2022.0,GREET: Forest Residue FT [JetFuel_WTP],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel Blendstock HEFA (RD100) from Used Cooking Oil,,,,,Default,Emissions,PM Emissions WTT,g/mmBtu,,0.891172149,,Xu et al. 2022,https://pubs.acs.org/doi/10.1021/acs.est.2c00289,,,,,,,Biofuel HEFA (Jet) from used cooking oil,2022.0,GREET: UCO HEFA [JetFuel_WTP],,,,
Aviation,Aviation,Conventional Jet Fuel,,Conventional Jet Fuel,,,,,Default,Emissions,PM Emissions WTWake,g/mmBtu,,3.818513925,,"ANL, GREET (Wang et al. 2023)",R&D GREET 2023 Rev1,,,,,,,Conventional Jet Fuel,2022.0,GREET: Conventional Jet Fuel [JetFuel_WTP],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel ATJ-Ethanol from Corn,,,,,Default,Emissions,PM Emissions WTWake,g/mmBtu,,17.48131911,,"ANL, GREET (Wang et al. 2023)",R&D GREET 2023 Rev1,,,,,,,Jet ATJ-ethanol from corn grain (standalone facilities),2022.0,GREET: Corn Dry Mill w/ extraction ATJ-E (Standalone) [JetFuel_WTP],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel Blendstock FT (FTD100) from Forest Residue,,,,,Default,Emissions,PM Emissions WTWake,g/mmBtu,,2.237408895,,Han et al. 2013,https://doi.org/10.1016/j.biortech.2013.07.153,,,,,,,Biofuel FT (Jet) from Forest Residue,2022.0,GREET: Forest Residue FT [JetFuel_WTP],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel Blendstock HEFA (RD100) from Used Cooking Oil,,,,,Default,Emissions,PM Emissions WTWake,g/mmBtu,,1.109057626,,Xu et al. 2022,https://pubs.acs.org/doi/10.1021/acs.est.2c00289,,,,,,,Biofuel HEFA (Jet) from used cooking oil,2022.0,GREET: UCO HEFA [JetFuel_WTP],,,,
Aviation,Aviation,Conventional Jet Fuel,,Conventional Jet Fuel,,,,,Default,Emissions,SOX Emissions WTT,g/mmBtu,,3.857354072,,"ANL, GREET (Wang et al. 2023)",R&D GREET 2023 Rev1,,,,,,,Conventional Jet Fuel,2022.0,GREET: Conventional Jet Fuel [JetFuel_WTP],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel ATJ-Ethanol from Corn,,,,,Default,Emissions,SOX Emissions WTT,g/mmBtu,,24.097029,,"ANL, GREET (Wang et al. 2023)",R&D GREET 2023 Rev1,,,,,,,Jet ATJ-ethanol from corn grain (standalone facilities),2022.0,GREET: Corn Dry Mill w/ extraction ATJ-E (Standalone) [JetFuel_WTP],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel Blendstock FP from Forest Residue,,,,,Default,Emissions,SOX Emissions WTT,g/mmBtu,,10.57148144,,Dutta et al. 2023,https://doi.org/10.1016/j.cej.2022.138485,,,,,,,Biofuel Blendstock Ex situ Fast Pyrolysis (Diesel) from Forest Residue and Clean Pine with Chemical Coproducts and Refinery Co-hydroprocessing ,2022.0,GREET: Ex Situ Catalytic Fast Pyrolysis [Pyrolysis_IDL],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel Blendstock FT (FTD100) from Forest Residue,,,,,Default,Emissions,SOX Emissions WTT,g/mmBtu,,5.806074687,,Han et al. 2013,https://doi.org/10.1016/j.biortech.2013.07.153,,,,,,,Biofuel FT (Jet) from Forest Residue,2022.0,GREET: Forest Residue FT [JetFuel_WTP],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel Blendstock HEFA (RD100) from Used Cooking Oil,,,,,Default,Emissions,SOX Emissions WTT,g/mmBtu,,3.438468777,,Xu et al. 2022,https://pubs.acs.org/doi/10.1021/acs.est.2c00289,,,,,,,Biofuel HEFA (Jet) from used cooking oil,2022.0,GREET: UCO HEFA [JetFuel_WTP],,,,
Aviation,Aviation,Conventional Jet Fuel,,Conventional Jet Fuel,,,,,Default,Emissions,SOX Emissions WTWake,g/mmBtu,,38.04897884,,"ANL, GREET (Wang et al. 2023)",R&D GREET 2023 Rev1,,,,,,,Conventional Jet Fuel,2022.0,GREET: Conventional Jet Fuel [JetFuel_WTP],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel ATJ-Ethanol from Corn,,,,,Default,Emissions,SOX Emissions WTWake,g/mmBtu,,24.097029,,"ANL, GREET (Wang et al. 2023)",R&D GREET 2023 Rev1,,,,,,,Jet ATJ-ethanol from corn grain (standalone facilities),2022.0,GREET: Corn Dry Mill w/ extraction ATJ-E (Standalone) [JetFuel_WTP],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel Blendstock FT (FTD100) from Forest Residue,,,,,Default,Emissions,SOX Emissions WTWake,g/mmBtu,,5.806074687,,Han et al. 2013,https://doi.org/10.1016/j.biortech.2013.07.153,,,,,,,Biofuel FT (Jet) from Forest Residue,2022.0,GREET: Forest Residue FT [JetFuel_WTP],,,,
Aviation,Aviation,Sustainable Aviation Fuel,,Biofuel Blendstock HEFA (RD100) from Used Cooking Oil,,,,,Default,Emissions,SOX Emissions WTWake,g/mmBtu,,3.438468777,,Xu et al. 2022,https://pubs.acs.org/doi/10.1021/acs.est.2c00289,,,,,,,Biofuel HEFA (Jet) from used cooking oil,2022.0,GREET: UCO HEFA [JetFuel_WTP],,,,
Light Duty,Hydrogen,End-Use Hydrogen,,High temperature electrolysis,,Liquefaction-Trucks,,Nuclear,Default,Emissions,CO2e Emissions WTT,g/mmBtu,,3244.657927,Without Co-Product credits for O2),"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,High temperature electrolysis,,Liquefaction-Trucks,,Nuclear,Future National,Emissions,CO2e Emissions WTT,g/mmBtu,,2231.38974,Without Co-Product credits for O2),"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,High temperature electrolysis,,Liquefaction-Trucks,,Nuclear,High RE,Emissions,CO2e Emissions WTT,g/mmBtu,,2027.851055,Without Co-Product credits for O2),"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,Lowest CO2e Emissions,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,High temperature electrolysis,,On-Site Production,,Nuclear,Default,Emissions,CO2e Emissions WTT,g/mmBtu,,15584.380345,Without Co-Product credits for O2),"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,High temperature electrolysis,,On-Site Production,,Nuclear,Future National,Emissions,CO2e Emissions WTT,g/mmBtu,,6164.776905000001,Without Co-Product credits for O2),"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,High temperature electrolysis,,On-Site Production,,Nuclear,High RE,Emissions,CO2e Emissions WTT,g/mmBtu,,3834.3832380000003,Without Co-Product credits for O2),"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,High temperature electrolysis,,Tube-Trailers,,Nuclear,Default,Emissions,CO2e Emissions WTT,g/mmBtu,,11085.907674999999,Without Co-Product credits for O2),"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,High temperature electrolysis,,Tube-Trailers,,Nuclear,Future National,Emissions,CO2e Emissions WTT,g/mmBtu,,5735.335282,Without Co-Product credits for O2),"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,High temperature electrolysis,,Tube-Trailers,,Nuclear,High RE,Emissions,CO2e Emissions WTT,g/mmBtu,,4239.802454,Without Co-Product credits for O2),"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,Low temperature electrolysis,,Liquefaction-Trucks,,Grid,Default,Emissions,CO2e Emissions WTT,g/mmBtu,,263866.32972000004,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,Delivery (100 mi)+ Dispensing at 700 Bar,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,Low temperature electrolysis,,Liquefaction-Trucks,,Grid,Future National,Emissions,CO2e Emissions WTT,g/mmBtu,,96364.38949,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,Delivery (100 mi)+ Dispensing at 700 Bar,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,Low temperature electrolysis,,Liquefaction-Trucks,,Grid,High RE,Emissions,CO2e Emissions WTT,g/mmBtu,,66987.3955,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,Delivery (100 mi)+ Dispensing at 700 Bar,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,Low temperature electrolysis,,Liquefaction-Trucks,,Dedicated RE,Default,Emissions,CO2e Emissions WTT,g/mmBtu,,49384.12062,Without Co-Product credits for O2),"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,Delivery (100 mi)+ Dispensing at 700 Bar,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,Low temperature electrolysis,,Liquefaction-Trucks,,Dedicated RE,Future National,Emissions,CO2e Emissions WTT,g/mmBtu,,19385.92766,Without Co-Product credits for O2),"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,Delivery (100 mi)+ Dispensing at 700 Bar,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,Lowest Price,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,Low temperature electrolysis,,Liquefaction-Trucks,,Dedicated RE,High RE,Emissions,CO2e Emissions WTT,g/mmBtu,,12787.31046,Without Co-Product credits for O2),"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,Delivery (100 mi)+ Dispensing at 700 Bar,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,Low temperature electrolysis,,On-Site Production,,Grid,Default,Emissions,CO2e Emissions WTT,g/mmBtu,,229043.81033,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,Low temperature electrolysis,,On-Site Production,,Grid,Future National,Emissions,CO2e Emissions WTT,g/mmBtu,,82120.45962,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,Low temperature electrolysis,,On-Site Production,,Grid,High RE,Emissions,CO2e Emissions WTT,g/mmBtu,,57011.689162999995,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,Low temperature electrolysis,,On-Site Production,,Dedicated RE,Default,Emissions,CO2e Emissions WTT,g/mmBtu,,14561.60123,Without Co-Product credits for O2),"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,Low temperature electrolysis,,On-Site Production,,Dedicated RE,Future National,Emissions,CO2e Emissions WTT,g/mmBtu,,5141.99779,Without Co-Product credits for O2),"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,Low temperature electrolysis,,On-Site Production,,Dedicated RE,High RE,Emissions,CO2e Emissions WTT,g/mmBtu,,2811.604123,Without Co-Product credits for O2),"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,Low temperature electrolysis,,Pipeline,,Grid,Default,Emissions,CO2e Emissions WTT,g/mmBtu,,228298.1053,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,Delivery (100 mi)+ Dispensing at 700 Bar,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,Low temperature electrolysis,,Pipeline,,Grid,Future National,Emissions,CO2e Emissions WTT,g/mmBtu,,82343.009315,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,Delivery (100 mi)+ Dispensing at 700 Bar,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,Low temperature electrolysis,,Pipeline,,Grid,High RE,Emissions,CO2e Emissions WTT,g/mmBtu,,57168.334547,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,Delivery (100 mi)+ Dispensing at 700 Bar,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,Low temperature electrolysis,,Pipeline,,Dedicated RE,Default,Emissions,CO2e Emissions WTT,g/mmBtu,,13815.8962,Without Co-Product credits for O2),"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,Delivery (100 mi)+ Dispensing at 700 Bar,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,Low temperature electrolysis,,Pipeline,,Dedicated RE,Future National,Emissions,CO2e Emissions WTT,g/mmBtu,,5364.547485,Without Co-Product credits for O2),"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,Delivery (100 mi)+ Dispensing at 700 Bar,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,Low temperature electrolysis,,Pipeline,,Dedicated RE,High RE,Emissions,CO2e Emissions WTT,g/mmBtu,,2968.249507,Without Co-Product credits for O2),"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,Delivery (100 mi)+ Dispensing at 700 Bar,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,Low temperature electrolysis,,Tube-Trailers,,Grid,Default,Emissions,CO2e Emissions WTT,g/mmBtu,,231848.73934,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,Delivery (100 mi)+ Dispensing at 700 Bar,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
Light Duty,Hydrogen,End-Use Hydrogen,,Low temperature electrolysis,,Tube-Trailers,,Grid,Future National,Emissions,CO2e Emissions WTT,g/mmBtu,,84505.902164,,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,Delivery (100 mi)+ Dispensing at 700 Bar,"ANL, GREET (Wang et al. 2022)",https://greet.es.anl.gov/,,All,,,,,,,,
