event_id,event_name,date,end_date,region,event_type,sub_type,description,gas_price_impact
POLAR_VORTEX_2014,Polar Vortex 2014,2014-01-06,2014-01-08,Midwest/Northeast,NATURAL_DISASTER,POLAR_VORTEX,"Henry Hub hit $7.90, NY spot hit $20.77, Chicago $27.45",4.2
SANC_RUSSIA_2014,Crimea Annexation Sanctions,2014-03-17,,Russia,SANCTIONS,Sectoral,"Initial EU/US sanctions after Crimea, limited energy scope",0.3
SABINE_PASS_START_2016,Sabine Pass LNG Start,2016-02-24,,US Gulf Coast,MARKET_STRUCTURE,LNG_SUPPLY,"First US LNG export cargo, began US export era",-0.3
IRAN_SANCTIONS_2018,Iran Sanctions Reimposed,2018-11-05,,Middle East,GEOPOLITICAL,GEOPOLITICAL,"US reimposed Iran sanctions, oil exports dropped 2.5 mbd to 0.5 mbd",0.3
HURR_LAURA_2020,Hurricane Laura,2020-08-27,2020-08-28,Louisiana,NATURAL_DISASTER,HURRICANE,"Category 4, halted LNG exports at Sabine Pass/Cameron",0.4
WINTER_STORM_URI_2021,Winter Storm Uri,2021-02-10,2021-02-20,Texas/Central US,NATURAL_DISASTER,POLAR_VORTEX,"Worst Texas grid failure, spot gas hit $224/MMBtu at PEPL TX/OK, electricity $9000/MWh, $195B damage",20.1
HURR_IDA_2021,Hurricane Ida,2021-08-29,2021-08-30,Gulf of Mexico/Louisiana,NATURAL_DISASTER,HURRICANE,"Category 4, 94% gas and 96% oil shut-in, surpassed Katrina cuts",0.8
RUSSIA_UKRAINE_WAR_2022,Russia-Ukraine War,2022-02-24,,Europe/Global,GEOPOLITICAL,GEOPOLITICAL,"Russia cut 80 bcm/yr to Europe, EU TTF peaked €340/MWh, US Henry Hub +20%",5.0
SANC_RUSSIA_2022,Ukraine Invasion Sanctions,2022-02-26,,Russia,SANCTIONS,Comprehensive,"Severe sanctions, SWIFT cutoff, $400B reserves frozen",4.0
EUROPE_LNG_SURGE_2022,Europe LNG Import Surge,2022-03-01,2023-12-31,Europe,MARKET_STRUCTURE,LNG_DEMAND,"EU LNG imports up 68% from 70 to 118 MT, replaced Russian gas",3.5
FREEPORT_EXPLOSION_2022,Freeport LNG Fire,2022-06-08,2023-03-01,Texas,MARKET_STRUCTURE,LNG_DISRUPTION,"Explosion shut facility 8+ months, reduced US exports, lowered Henry Hub",-1.5
NORD_STREAM_SABOTAGE_2022,Nord Stream Pipeline Sabotage,2022-09-26,2022-09-26,Baltic Sea/Europe,GEOPOLITICAL,GEOPOLITICAL,"Explosions destroyed 3 of 4 Nord Stream pipes, 115k tons methane released",2.0
SANC_RUSSIA_OIL_CAP_2022,G7 Russian Oil Price Cap,2022-12-05,,Russia,SANCTIONS,Price Cap,$60/bbl price cap on Russian seaborne crude,0.5
WINTER_STORM_ELLIOTT_2022,Winter Storm Elliott,2022-12-21,2022-12-26,Eastern US,NATURAL_DISASTER,POLAR_VORTEX,"Bomb cyclone, grid stress PJM/MISO/TVA",3.1
SANC_EU_GAS_CAP_2023,EU Gas Price Cap,2023-02-15,,Market,SANCTIONS,Price Cap,"EU TTF cap at €180/MWh, never triggered",-0.3
QATAR_NORTH_FIELD_EXPANSION,Qatar North Field Expansion FID,2023-10-01,,Qatar,MARKET_STRUCTURE,LNG_SUPPLY,"32 MTPA North Field East + 32 MTPA West, online 2025-2030",0.0
HOUTHI_ATTACKS_2024,Houthi Red Sea Attacks,2024-01-01,,Red Sea/Middle East,GEOPOLITICAL,GEOPOLITICAL,"LNG vessels rerouted via Cape of Good Hope, longer voyages, higher costs",0.4
POLAR_VORTEX_2024,January 2024 Arctic Outbreak,2024-01-12,2024-01-17,Central/Eastern US,NATURAL_DISASTER,POLAR_VORTEX,"Cold snap, tested post-Uri grid improvements",1.0
US_LNG_PAUSE_2024,Biden LNG Pause,2024-01-26,2025-07-04,US,MARKET_STRUCTURE,LNG_POLICY,"Temporary pause on new LNG export approvals, reversed by OBBBA",0.1
HURR_FRANCINE_2024,Hurricane Francine,2024-09-11,2024-09-12,Gulf of Mexico/Louisiana,NATURAL_DISASTER,HURRICANE,"Category 2, moderate disruption",0.15
PLAQUEMINES_START_2024,Plaquemines LNG First Cargo,2024-12-01,,Louisiana,MARKET_STRUCTURE,LNG_SUPPLY,"Phase 1 startup, 8th US export facility",0.2
UKRAINE_TRANSIT_END_2025,Ukraine Gas Transit Ends,2025-01-01,,Europe,GEOPOLITICAL,GEOPOLITICAL,"Ukraine transit contract expired, ~15 bcm/yr lost to Europe",0.8
LNG_CANADA_START_2025,LNG Canada Startup,2025-03-01,,British Columbia,MARKET_STRUCTURE,LNG_SUPPLY,"Canada's first large LNG export facility, Pacific market access",0.1
SANC_RUSSIA_LNG_2025,EU 18th Sanctions Package,2025-07-01,,Russia,SANCTIONS,LNG,Banned Russian crude-derived products from third countries,0.2
WINTER_STORM_FERN_2026,Winter Storm Fern,2026-01-23,2026-01-26,Texas/Southeast,NATURAL_DISASTER,POLAR_VORTEX,"Polar vortex disruption, testing post-Uri weatherization",1.9
