variable,unit,category,description,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
wind_onshore_cf,fraction (0-1),technology_costs,Land-based wind net capacity factor,0.465463,0.47247,0.479517,0.486606,0.493735,0.500906,0.508117,0.508458,0.5088,0.509141,0.509483,0.509824,0.510165,0.510507,0.510848,0.51119,0.511531,0.511872,0.512214,0.512555,0.512897,0.513238,0.513579,0.513921,0.514262,0.514604,0.514945
wind_offshore_fixed_capex,$/kW (real 2024 USD),technology_costs,Offshore wind (fixed-bottom) capital cost,5224.86326,5044.146476,4536.824425,4057.908114,3597.683688,3519.792308,3452.143908,3361.496736,3284.974716,3218.973673,3161.091687,3109.652411,3075.256485,3043.30396,3013.491502,2985.567866,2959.322226,2934.577108,2911.180728,2889.002748,2867.930627,2847.866318,2828.724028,2810.428102,2792.911604,2776.115375,2759.986267
wind_offshore_fixed_lcoe,$/MWh (real 2024 USD),technology_costs,Offshore wind (fixed-bottom) LCOE,97.743194,93.411456,84.827676,77.029279,69.73379,68.050961,66.588344,64.662681,63.050681,61.670201,60.463049,59.409208,58.708387,58.051693,57.445034,56.872403,56.341081,55.847632,55.378182,54.930451,54.513086,54.113599,53.730429,53.372672,53.018309,52.686994,52.367434
wind_offshore_floating_capex,$/kW (real 2024 USD),technology_costs,Offshore wind (floating) capital cost,,,,,,,6611.5378,5806.305884,5353.205785,5045.125534,4814.98875,4633.026226,4236.013332,3975.136414,3783.900657,3634.499328,3512.79384,3410.66714,3323.052124,3246.586787,3178.932377,3118.400525,3063.734886,3013.977142,2968.380509,2926.352344,2887.415021
battery_utility_capex_power,$/kW (real 2024 USD),technology_costs,Utility-scale Li-ion battery power capacity cost (4-hr duration),1844.721566,1478.257035,1420.187015,1362.117806,1304.047191,1245.976168,1187.924306,1169.027869,1150.131433,1131.216387,1112.319967,1093.443436,1074.528297,1055.631902,1036.735508,1017.839116,998.923748,980.027372,961.151303,942.254949,923.339466,904.44313,885.546799,866.650473,847.734658,828.838346,809.962985
battery_utility_capex_energy,$/kWh (real 2024 USD),technology_costs,Utility-scale Li-ion battery energy capacity cost,461.180391,369.564259,355.046754,340.529451,326.011798,311.494042,296.981076,292.256967,287.532858,282.804097,278.079992,273.360859,268.632074,263.907976,259.183877,254.459779,249.730937,245.006843,240.287826,235.563737,230.834867,226.110782,221.3867,216.662618,211.933664,207.209587,202.490746
battery_utility_lcos,$/MWh (real 2024 USD),technology_costs,Utility-scale battery levelized cost of storage (4-hr),167.56,143.11,139.2,135.29,131.38,127.48,123.57,122.27,120.96,119.67,118.37,117.07,115.77,114.47,113.17,111.87,110.57,109.27,107.98,106.68,105.37,104.07,102.78,101.48,100.18,98.88,97.58
battery_utility_rte,fraction (0-1),technology_costs,Utility-scale battery round-trip efficiency,0.86,0.8608,0.8615,0.8623,0.8631,0.8638,0.8646,0.8654,0.8662,0.8669,0.8677,0.8685,0.8692,0.87,0.8708,0.8715,0.8723,0.8731,0.8738,0.8746,0.8754,0.8762,0.8769,0.8777,0.8785,0.8792,0.88
ngcc_capex,$/kW (real 2024 USD),technology_costs,Natural gas combined cycle overnight capital cost,1562.204937,1546.569859,1530.816332,1515.062806,1499.427728,1483.674201,1468.039123,1452.285597,1436.650518,1420.896992,1405.143466,1389.508387,1377.782078,1365.937322,1354.211013,1342.484704,1330.758395,1318.913638,1307.187329,1295.46102,1283.734711,1271.889955,1260.163646,1248.437337,1236.711028,1224.866272,1213.139963
ngcc_heat_rate,MMBtu/MWh,technology_costs,Natural gas combined cycle net heat rate,6.3,6.269,6.238,6.206,6.175,6.143,6.112,6.081,6.049,6.018,5.986,5.955,5.955,5.955,5.955,5.955,5.955,5.955,5.955,5.955,5.955,5.955,5.955,5.955,5.955,5.955,5.955
ngcc_lcoe,$/MWh (real 2024 USD),technology_costs,Natural gas combined cycle LCOE,55.12,54.64,54.19,53.72,53.25,52.78,52.33,51.87,51.38,50.92,50.47,50.0,49.76,49.54,49.31,49.06,48.84,48.6,48.37,48.15,47.91,47.68,47.44,47.22,46.97,46.74,46.52
ngct_capex,$/kW (real 2024 USD),technology_costs,Natural gas combustion turbine overnight capital cost,1412.842557,1402.419172,1391.995786,1381.5724,1371.149015,1360.844076,1350.420691,1339.997305,1329.573919,1319.150533,1308.727148,1298.303762,1287.880376,1277.575438,1267.152052,1256.728667,1246.305281,1235.881895,1225.458509,1215.035124,1204.611738,1194.3068,1183.883414,1173.460028,1163.036642,1152.613257,1142.189871
ngcc_ccs_capex,$/kW (real 2024 USD),technology_costs,Natural gas CC with CCS (90% capture) capital cost,3085.20373,2995.183581,2905.281879,2815.380177,2725.360027,2635.458325,2545.438176,2455.536474,2365.516324,2275.614622,2185.594473,2095.692771,2071.766363,2047.839954,2023.913546,2000.105586,1976.179177,1952.252769,1928.326361,1904.518401,1880.591992,1856.665584,1832.739176,1808.812768,1785.004807,1761.078399,1737.151991
ngcc_ccs_lcoe,$/MWh (real 2024 USD),technology_costs,Natural gas CC with CCS (90% capture) LCOE,89.7,87.62,85.55,83.45,81.38,79.3,77.21,75.13,73.03,70.97,68.88,66.79,66.32,65.85,65.39,64.92,64.45,63.97,63.5,63.02,62.56,62.08,61.61,61.13,60.65,60.19,59.71
nuclear_conventional_capex,$/kW (real 2024 USD),technology_costs,Conventional nuclear (Gen III+ LWR) overnight capital cost,,,,,,,6878.546179,6557.118787,6235.691396,5914.264004,5592.836613,5271.409221,5014.267308,4757.125395,4499.983482,4242.841568,3985.699655,3857.128698,3728.557742,3599.986785,3471.415829,3342.844872,3278.559394,3214.273915,3149.988437,3085.702959,3021.41748
nuclear_smr_capex,$/kW (real 2024 USD),technology_costs,Small modular reactor overnight capital cost,,,,,,,6820.513651,6272.436661,5724.359671,5176.282682,4628.205692,4080.128702,3897.436372,3714.744042,3532.051712,3349.359382,3166.667052,3105.769609,3044.872166,2983.974722,2923.077279,2862.179836,2801.282392,2740.384949,2679.487506,2618.590062,2557.692619
nuclear_lcoe,$/MWh (real 2024 USD),technology_costs,Nuclear LCOE (conventional large reactor),,,,,,,73.262687,71.155365,69.048044,66.940723,64.833401,62.72608,61.040223,59.354366,57.668508,55.982651,54.296794,53.453866,52.610937,51.768009,50.92508,50.082151,49.660687,49.239223,48.817759,48.396294,47.97483
electrolyzer_pem_capex,$/kW (real 2024 USD),technology_costs,PEM electrolyzer capital cost,1100,958,817,675,533,392,250,242,233,225,217,208,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
electrolyzer_alkaline_capex,$/kW (real 2024 USD),technology_costs,Alkaline electrolyzer capital cost,500,442,383,325,267,208,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
electrolyzer_soec_capex,$/kW (real 2024 USD),technology_costs,Solid oxide electrolyzer (SOEC) capital cost,2500,2318,2136,1955,1773,1591,1409,1227,1045,864,682,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
electrolyzer_efficiency,kWh/kg H2,technology_costs,Electrolyzer system efficiency (electricity per kg H2),54.5,54.2,54.0,53.7,53.4,53.2,52.9,52.6,52.4,52.1,51.8,51.6,51.3,51.0,50.8,50.5,50.3,50.0,49.7,49.5,49.2,48.9,48.7,48.4,48.1,47.9,47.6
lcoh_green_electrolysis,$/kg H2 (real 2024 USD),technology_costs,Levelized cost of green hydrogen (electrolysis),5.3146,4.9281,4.5416,4.1551,3.7686,3.382,2.9955,2.609,2.2225,1.836,1.4494,1.0629,1.0629,1.0629,1.0629,1.0629,1.0629,1.0629,1.0629,1.0629,1.0629,1.0629,1.0629,1.0629,1.0629,1.0629,1.0629
lcoh_blue_smr_ccs,$/kg H2 (real 2024 USD),technology_costs,Levelized cost of blue hydrogen (SMR + CCS),2.551,2.4157,2.2805,2.1452,2.0099,1.8746,1.7393,1.6041,1.4688,1.3335,1.1982,1.0629,1.0629,1.0629,1.0629,1.0629,1.0629,1.0629,1.0629,1.0629,1.0629,1.0629,1.0629,1.0629,1.0629,1.0629,1.0629
lcoh_gray_smr,$/kg H2 (real 2024 USD),technology_costs,Levelized cost of gray hydrogen (unabated SMR),1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755
lcoh_atr_ccs,$/kg H2 (real 2024 USD),technology_costs,Levelized cost of hydrogen via autothermal reforming + CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,
geothermal_capex,$/kW (real 2024 USD),technology_costs,Geothermal power plant capital cost (hydrothermal),7249.849141,7058.119133,6876.339648,6703.622367,6539.18706,6382.345198,6232.486513,6089.067893,5951.604138,5819.660236,5692.844859,5570.804862,5543.669402,5516.66962,5489.804837,5463.074377,5436.47757,5410.013747,5383.682243,5357.482397,5331.413549,5305.475046,5279.666236,5253.98647,5228.435102,5203.011491,5177.714999
coal_ccs_capex,$/kW (real 2024 USD),technology_costs,Coal with CCS (90% capture) capital cost,6907.938454,6808.133629,6708.197481,6608.261334,6508.325186,6408.389039,6308.452891,6208.516744,6108.580597,6009.30106,5908.183013,5808.772154,5744.292984,5679.682492,5615.072,5550.461508,5485.851016,5421.240523,5356.630031,5292.019539,5227.409047,5162.798555,5098.188063,5033.57757,4968.967078,4904.356586,4839.746094
ccus_cost_transport_storage,$/tonne CO2 (real 2024 USD),ccus,Cost of CO2 transport and storage per tonne,18.0,17.5,16.9,16.4,15.8,15.3,14.7,14.2,13.6,13.1,12.5,12.0,11.9,11.7,11.6,11.5,11.3,11.2,11.1,10.9,10.8,10.7,10.5,10.4,10.3,10.1,10.0
ira_itc_rate,fraction (0-1),policy,Investment Tax Credit rate (IRA Section 48/48E),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.225,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ira_ptc_value,$/MWh (real 2024 USD),policy,Production Tax Credit value (IRA Section 45/45Y),27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,20.6,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
