variable,unit,category,geography,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
demand_coal,EJ,energy_demand,us,8.2068,8.038934,7.871067,7.703201,7.535335,7.367468,7.199602,7.031735,6.863869,6.696003,6.528136,6.36027,6.250846,6.141422,6.031998,5.922574,5.81315,5.703726,5.594302,5.484878,5.375454,5.26603,5.156606,5.047182,4.937758,4.828334,4.71891
demand_electricity_total,TWh,energy_demand,us,4102.28,4170.649091,4239.018182,4307.387273,4375.756364,4444.125455,4512.494545,4580.863636,4649.232727,4717.601818,4785.970909,4854.34,4895.522667,4936.705333,4977.888,5019.070667,5060.253333,5101.436,5142.618667,5183.801333,5224.984,5266.166667,5307.349333,5348.532,5389.714667,5430.897333,5472.08
demand_hydrogen,Mt H2/yr,energy_demand,us,1.611,1.619727,1.628455,1.637182,1.645909,1.654636,1.663364,1.672091,1.680818,1.689545,1.698273,1.707,1.7142,1.7214,1.7286,1.7358,1.743,1.7502,1.7574,1.7646,1.7718,1.779,1.7862,1.7934,1.8006,1.8078,1.815
demand_industrial,EJ,energy_demand,us,15.41,15.558364,15.706727,15.855091,16.003455,16.151818,16.300182,16.448545,16.596909,16.745273,16.893636,17.042,17.080133,17.118267,17.1564,17.194533,17.232667,17.2708,17.308933,17.347067,17.3852,17.423333,17.461467,17.4996,17.537733,17.575867,17.614
demand_natural_gas,EJ,energy_demand,us,35.093427,35.364366,35.635306,35.906245,36.177184,36.448124,36.719063,36.990003,37.260942,37.531881,37.802821,38.07376,37.877555,37.681349,37.485144,37.288939,37.092734,36.896528,36.700323,36.504118,36.307913,36.111707,35.915502,35.719297,35.523092,35.326886,35.130681
demand_oil,Mb/d,energy_demand,us,18.1,18.118182,18.136364,18.154545,18.172727,18.190909,18.209091,18.227273,18.245455,18.263636,18.281818,18.3,18.273333,18.246667,18.22,18.193333,18.166667,18.14,18.113333,18.086667,18.06,18.033333,18.006667,17.98,17.953333,17.926667,17.9
demand_residential,EJ,energy_demand,us,20.46,20.571091,20.682182,20.793273,20.904364,21.015455,21.126545,21.237636,21.348727,21.459818,21.570909,21.682,21.736333,21.790667,21.845,21.899333,21.953667,22.008,22.062333,22.116667,22.171,22.225333,22.279667,22.334,22.388333,22.442667,22.497
demand_total_primary,EJ,energy_demand,us,92.978,93.459182,93.940364,94.421545,94.902727,95.383909,95.865091,96.346273,96.827455,97.308636,97.789818,98.271,98.8038,99.3366,99.8694,100.4022,100.935,101.4678,102.0006,102.5334,103.0662,103.599,104.1318,104.6646,105.1974,105.7302,106.263
demand_transport,EJ,energy_demand,us,25.542,25.592,25.642,25.692,25.742,25.792,25.842,25.892,25.942,25.992,26.042,26.092,26.2082,26.3244,26.4406,26.5568,26.673,26.7892,26.9054,27.0216,27.1378,27.254,27.3702,27.4864,27.6026,27.7188,27.835
electrolyzer_capacity_installed,GW,hydrogen,world,0.0,1.424545,2.849091,4.273636,5.698182,7.122727,8.547273,9.971818,11.396364,12.820909,14.245455,15.67,17.436,19.202,20.968,22.734,24.5,24.835,25.17,25.505,25.84,26.175,26.51,26.845,27.18,27.515,27.85
emissions_co2_buildings,Mt CO2,emissions,world,2801.57,2783.732727,2765.895455,2748.058182,2730.220909,2712.383636,2694.546364,2676.709091,2658.871818,2641.034545,2623.197273,2605.36,2592.402,2579.444,2566.486,2553.528,2540.57,2538.894,2537.218,2535.542,2533.866,2532.19,2530.514,2528.838,2527.162,2525.486,2523.81
emissions_co2_industry,Mt CO2,emissions,world,9057.03,9130.603636,9204.177273,9277.750909,9351.324545,9424.898182,9498.471818,9572.045455,9645.619091,9719.192727,9792.766364,9866.34,9921.196,9976.052,10030.908,10085.764,10140.62,10165.583,10190.546,10215.509,10240.472,10265.435,10290.398,10315.361,10340.324,10365.287,10390.25
emissions_co2_per_capita,t CO2/person,emissions,,0.558782,0.55351,0.54832,0.543212,0.538183,0.533232,0.528356,0.523555,0.518826,0.514167,0.509578,0.505057,0.499372,0.49376,0.48822,0.482751,0.477352,0.472517,0.467733,0.462999,0.458314,0.453676,0.449087,0.444543,0.440046,0.435594,0.431187
emissions_co2_per_gdp,kg CO2/$ GDP,emissions,,0.023027,0.022228,0.021481,0.020781,0.020123,0.019504,0.018919,0.018368,0.017846,0.017351,0.016882,0.016436,0.015922,0.015435,0.014973,0.014533,0.014115,0.013702,0.013309,0.012934,0.012576,0.012234,0.011907,0.011594,0.011294,0.011007,0.010731
emissions_co2_power,Mt CO2,emissions,us,1490.0,1483.207273,1476.414545,1469.621818,1462.829091,1456.036364,1449.243636,1442.450909,1435.658182,1428.865455,1422.072727,1415.28,1394.168667,1373.057333,1351.946,1330.834667,1309.723333,1288.612,1267.500667,1246.389333,1225.278,1204.166667,1183.055333,1161.944,1140.832667,1119.721333,1098.61
emissions_co2_total,Mt CO2,emissions,us,4521.18,4514.439091,4507.698182,4500.957273,4494.216364,4487.475455,4480.734545,4473.993636,4467.252727,4460.511818,4453.770909,4447.03,4425.717333,4404.404667,4383.092,4361.779333,4340.466667,4319.154,4297.841333,4276.528667,4255.216,4233.903333,4212.590667,4191.278,4169.965333,4148.652667,4127.34
emissions_co2_transport,Mt CO2,emissions,world,8358.32,8403.557273,8448.794545,8494.031818,8539.269091,8584.506364,8629.743636,8674.980909,8720.218182,8765.455455,8810.692727,8855.93,8888.118,8920.306,8952.494,8984.682,9016.87,9077.753,9138.636,9199.519,9260.402,9321.285,9382.168,9443.051,9503.934,9564.817,9625.7
energy_intensity_gdp,MJ/$ GDP (real 2024 USD),macro,world,3.33,3.277273,3.224545,3.171818,3.119091,3.066364,3.013636,2.960909,2.908182,2.855455,2.802727,2.75,2.706,2.662,2.618,2.574,2.53,2.495,2.46,2.425,2.39,2.355,2.32,2.285,2.25,2.215,2.18
gdp_growth_rate,fraction (annual),macro,,,0.034367,0.033225,0.032157,0.031155,0.030214,0.029328,0.028492,0.027703,0.026956,0.026248,0.025577,0.027304,0.026578,0.02589,0.025236,0.024615,0.02508,0.024467,0.023883,0.023325,0.022794,0.022286,0.0218,0.021335,0.020889,0.020462
gdp_real,$ trillion (real 2024 USD),macro,world,196.3459,203.093745,209.841591,216.589436,223.337282,230.085127,236.832973,243.580818,250.328664,257.076509,263.824355,270.5722,277.9598,285.3474,292.735,300.1226,307.5102,315.2227,322.9352,330.6477,338.3602,346.0727,353.7852,361.4977,369.2102,376.9227,384.6352
generation_biomass,TWh,electricity,world,760.12,794.688182,829.256364,863.824545,898.392727,932.960909,967.529091,1002.097273,1036.665455,1071.233636,1105.801818,1140.37,1166.1,1191.83,1217.56,1243.29,1269.02,1297.086,1325.152,1353.218,1381.284,1409.35,1437.416,1465.482,1493.548,1521.614,1549.68
generation_coal,TWh,electricity,us,717.4,703.731818,690.063636,676.395455,662.727273,649.059091,635.390909,621.722727,608.054545,594.386364,580.718182,567.05,557.328,547.606,537.884,528.162,518.44,508.718,498.996,489.274,479.552,469.83,460.108,450.386,440.664,430.942,421.22
generation_hydro,TWh,electricity,world,4447.86,4510.042727,4572.225455,4634.408182,4696.590909,4758.773636,4820.956364,4883.139091,4945.321818,5007.504545,5069.687273,5131.87,5205.844,5279.818,5353.792,5427.766,5501.74,5580.283,5658.826,5737.369,5815.912,5894.455,5972.998,6051.541,6130.084,6208.627,6287.17
generation_hydrogen_ammonia,TWh,electricity,world,0.0,4.923636,9.847273,14.770909,19.694545,24.618182,29.541818,34.465455,39.389091,44.312727,49.236364,54.16,58.81,63.46,68.11,72.76,77.41,78.343,79.276,80.209,81.142,82.075,83.008,83.941,84.874,85.807,86.74
generation_natural_gas,TWh,electricity,us,1929.37,1960.157273,1990.944545,2021.731818,2052.519091,2083.306364,2114.093636,2144.880909,2175.668182,2206.455455,2237.242727,2268.03,2241.856667,2215.683333,2189.51,2163.336667,2137.163333,2110.99,2084.816667,2058.643333,2032.47,2006.296667,1980.123333,1953.95,1927.776667,1901.603333,1875.43
generation_nuclear,TWh,electricity,us,815.49,817.198182,818.906364,820.614545,822.322727,824.030909,825.739091,827.447273,829.155455,830.863636,832.571818,834.28,875.349333,916.418667,957.488,998.557333,1039.626667,1080.696,1121.765333,1162.834667,1203.904,1244.973333,1286.042667,1327.112,1368.181333,1409.250667,1450.32
generation_solar,TWh,electricity,us,278.77,322.622727,366.475455,410.328182,454.180909,498.033636,541.886364,585.739091,629.591818,673.444545,717.297273,761.15,784.384,807.618,830.852,854.086,877.32,900.554,923.788,947.022,970.256,993.49,1016.724,1039.958,1063.192,1086.426,1109.66
generation_total,TWh,electricity,us,4564.0,4647.288182,4730.576364,4813.864545,4897.152727,4980.440909,5063.729091,5147.017273,5230.305455,5313.593636,5396.881818,5480.17,5526.753333,5573.336667,5619.92,5666.503333,5713.086667,5759.67,5806.253333,5852.836667,5899.42,5946.003333,5992.586667,6039.17,6085.753333,6132.336667,6178.92
generation_wind,TWh,electricity,us,458.62,477.030909,495.441818,513.852727,532.263636,550.674545,569.085455,587.496364,605.907273,624.318182,642.729091,661.14,672.634,684.128,695.622,707.116,718.61,730.104,741.598,753.092,764.586,776.08,787.574,799.068,810.562,822.056,833.55
grid_emissions_intensity,g CO2/kWh,electricity,world,445.56,431.505455,417.450909,403.396364,389.341818,375.287273,361.232727,347.178182,333.123636,319.069091,305.014545,290.96,282.028,273.096,264.164,255.232,246.3,240.903,235.506,230.109,224.712,219.315,213.918,208.521,203.124,197.727,192.33
h2_demand_buildings,Mt H2/yr,hydrogen,world,0.0,0.001515,0.00303,0.004546,0.006061,0.007576,0.009091,0.010606,0.012121,0.013637,0.015152,0.016667,0.018334,0.02,0.021667,0.023333,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
h2_demand_industrial,Mt H2/yr,hydrogen,world,0.008333,0.010606,0.012878,0.015151,0.017424,0.019697,0.021969,0.024242,0.026515,0.028788,0.03106,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333
h2_demand_power,Mt H2/yr,hydrogen,world,0.0,0.021364,0.042727,0.064091,0.085455,0.106818,0.128182,0.149545,0.170909,0.192273,0.213636,0.235,0.2472,0.2594,0.2716,0.2838,0.296,0.2963,0.2966,0.2969,0.2972,0.2975,0.2978,0.2981,0.2984,0.2987,0.299
h2_demand_transport,Mt H2/yr,hydrogen,world,0.1,0.257576,0.415151,0.572727,0.730303,0.887879,1.045454,1.20303,1.360606,1.518182,1.675757,1.833333,2.21,2.586667,2.963333,3.34,3.716667,4.144167,4.571667,4.999167,5.426667,5.854167,6.281667,6.709167,7.136667,7.564167,7.991667
h2_production_electrolysis,Mt H2/yr,hydrogen,world,0.017,0.161909,0.306818,0.451727,0.596636,0.741545,0.886455,1.031364,1.176273,1.321182,1.466091,1.611,1.8236,2.0362,2.2488,2.4614,2.674,2.9179,3.1618,3.4057,3.6496,3.8935,4.1374,4.3813,4.6252,4.8691,5.113
h2_production_smr_ccs,Mt H2/yr,hydrogen,world,0.001,0.045545,0.090091,0.134636,0.179182,0.223727,0.268273,0.312818,0.357364,0.401909,0.446455,0.491,0.5806,0.6702,0.7598,0.8494,0.939,1.0663,1.1936,1.3209,1.4482,1.5755,1.7028,1.8301,1.9574,2.0847,2.212
h2_production_total,Mt H2/yr,hydrogen,world,0.011,0.107818,0.204636,0.301455,0.398273,0.495091,0.591909,0.688727,0.785545,0.882364,0.979182,1.076,1.2288,1.3816,1.5344,1.6872,1.84,2.0275,2.215,2.4025,2.59,2.7775,2.965,3.1525,3.34,3.5275,3.715
population,million persons,macro,world,8091.13,8156.028182,8220.926364,8285.824545,8350.722727,8415.620909,8480.519091,8545.417273,8610.315455,8675.213636,8740.111818,8805.01,8862.57,8920.13,8977.69,9035.25,9092.81,9140.734,9188.658,9236.582,9284.506,9332.43,9380.354,9428.278,9476.202,9524.126,9572.05
renewable_share_generation,fraction (0-1),electricity,,0.230918,0.241135,0.250993,0.260509,0.269702,0.278587,0.28718,0.295495,0.303545,0.311343,0.3189,0.326227,0.331082,0.335856,0.340551,0.345168,0.349711,0.354179,0.358576,0.362903,0.367162,0.371354,0.375481,0.379544,0.383545,0.387485,0.391366
