Country,Cost component,Value [EUR/kg],Value [EUR/MWh]
Italy,Total levelised cost of hydrogen,8.70,262.20
Italy,Capital expenditure,2.50,74.20
Italy,Electricity,4.70,139.60
Italy,Grid fees,0.80,23.70
Italy,Other operating expenditure,0.80,24.60
Malta,Total levelised cost of hydrogen,8.90,267.60
Malta,Capital expenditure,2.50,74.20
Malta,Electricity,4.10,122.80
Malta,Grid fees,1.50,45.90
Malta,Other operating expenditure,0.80,24.60
Cyprus,Total levelised cost of hydrogen,13.10,391.90
Cyprus,Capital expenditure,2.50,74.20
Cyprus,Electricity,8.80,262.80
Cyprus,Grid fees,1.00,30.30
Cyprus,Other operating expenditure,0.80,24.60
