"STATISTICAL_BASE_CODE","STATISTICAL_BASE_SHORT_DESC","STATISTICAL_BASE_LONG_DESC","STATISTICAL_BASE_MONTHLY_AVG","STATUS_FLAG"
"MC","MEAN","Mean","N","A"
"MD","MEDIAN","Median","N","A"
"ME","MINIMUM","Minimum",,"A"
"MF","MN % RMV","Minimum Percent Removal",,"I"
"MG","MN WK AV","Minimum Weekly Average",,"A"
"MH","MN 7D AV","Minimum 7 Day Average",,"A"
"MI","MN7DGEOA","Minimum 7 Day Geo. Ave",,"A"
"MJ","MO AV MN","Monthly Average Minimum",,"A"
"MK","MO AVG","Monthly Average","A","A"
"ML","MO GEO","Monthly Geometric","A","A"
"MM","MO GEOMN","Monthly Geometric Mean","A","A"
"MN","MO MAX","Monthly Maximum","N","A"
"MO","MO MIN","Monthly Minimum",,"A"
"MP","MO TOTAL","Monthly Total","N","A"
"MQ","MX DA AV","Maximum Daily Average","N","A"
"MR","MX HR RT","Maximum Hourly Rate","N","A"
"MS","MX WK AV","Maximum Weekly Average","N","A"
"MT","MX 7D AV","Maximum 7 Day Average","N","A"
"MU","MX 7D GM","Maximum 7 Day Geometric","N","A"
"MV","MX7DGEOA","Maximum 7 Day Geo. Avg.","N","A"
"MW","MXSINSAM","Maximum Single Sample","N","A"
"MX","MO GEOMX","Monthly Geometric Maximum","N","A"
"MY","MO LOAD","Monthly Loading","N","A"
"MZ","MN VALUE","Minimum Value",,"A"
"M0","MX VALUE","Maximum Value","N","A"
"M1","MX30DAAV","Maximum 30 Day Average","N","A"
"M2","MX MO AV","Maximum Monthly Average","N","A"
"M3","MO MED","Monthly Median","N","A"
"M4","MOAV GEO","Monthly Average Geometric","A","A"
"NA","NONSP AV","Non-Specific Average","N","A"
"NB","NONSP MX","Non-Specific Maximum","N","A"
"QA","QRTR AVG","Quarterly Average","N","A"
"QB","QRTR MAX","Quarterly Maximum","N","A"
"QC","QRTR MIN","Quarterly Minimum",,"A"
"QR","QTR ROLL","Quarterly Rolling Average","N","A"
"QT","QTRTOTAL","Quarterly Total","N","A"
"RA","ROLL AVG","Rolling Average","N","A"
"RB","RPT AVG","Reported Average","N","A"
"RC","RPT MIN","Reported Minimum",,"A"
"RD","RPT/ALAC","Rpt Allowed/Rpt Actual","N","I"
"RE","INDROLAV","Indiv 12 Mo Rolling Ave","N","A"
"RF","Agg Rol Av","Aggregate 12 Mo Rolling Avg","N","A"
"SA","SINGSAMP","Single Sample","N","A"
"SB","SM2CNSAM","Single Mv Conc Sample","N","A"
"SC","SEMI AVG","Semi-Annual Average","N","A"
"SD","SINGAMGE","Single Sample Geometric","N","A"
"SE","Single Rdg","Single Reading","N","A"
"SF","SUCCRDGS","Successfull Readings","N","I"
"SG","SINGGRAB","Single Grab","N","A"
"SM","SEMI MIN","Semi-Annual Minimum",,"A"
"ST","SEMANTOT","Semi-Annual Total","N","A"
"SX","SEMI MAX","Semi-Annual Maximum","N","A"
"TA","TOTAMTAP","Total Amount Applied","N","A"
"TB","TOTAL","Total","N","A"
"VA","VALUE","Value","N","A"
"WA","WKLY AVG","Weekly Average","N","A"
"WB","WKLY GEO","Weekly Geometric","N","A"
"WC","WKLY MAX","Weekly Maximum","N","A"
"WD","WKLY MIN","Weekly Minimum",,"A"
"WE","WKAV GEO","Weekly Average Geometric","N","A"
"WK","WK GEOMN","Weekly Geometric Mean","N","A"
"WL","WELL AVG","Well Average","N","A"
"XA",">BKGND",">Background","N","I"
"YA","YTD TOT","Year-To-Date Total","N","A"
"YM","YRLY MIN","Yearly Minimum",,"A"
"1A","1DA GEO","1 Day Geometric","N","A"
"1B","10%Samples","10% of Samples","N","A"
"1C","12M D AV","12 Day Average","N","A"
"1D","12MO AVG","12 Month Average","N","A"
"1E","12MTDFWA","12 Month Daily Water Flow","N","A"
"1F","120DA AV","120 Day Average","N","A"
"1G","180DARME","180 Day Arithmetic Mean","N","A"
"1H","1DA AVG","1 Day Average","N","A"
"1I","1 HR AVG","1 Hour Average","N","A"
"1J","1DA MIN","1 Day Minimum",,"A"
"2A","20%Samples","20% of Samples","N","A"
"2E","24HR MIN","24 Hour Minimum",,"A"
"2P","2HR PEAK","2 Hour Peak","N","A"
"3A","30DA GM","30 Day Geometric Mean","A","A"
"3B","30DA ARI","30 Day Arithmetic","A","A"
"3C","30DA AVG","30 Day Average","A","A"
"3D","30DA GEO","30 Day Geometric","A","A"
"3E","30DA MAX","30 Day Maximum","N","A"
"3F","30DAARME","30 Day Arithmetic Mean","A","A"
"3G","30DA MED","30 Day Median","N","A"
"3H","30DAVGEO","30 Day Average Geometric","A","A"
"3I","3HR AVG","3 Hour Average","N","A"
"4A","4 DA AVG","4 Day Average","N","A"
"4B","4 DA MAX","4 Day Maximum","N","A"
"4C","48HR MX","48 Hour Maximum","N","A"
"4D","4 HR AVG","4 Hour Average","N","A"
"4E","48HR MIN","48 Hour Minimum",,"A"
"5A","50TH %","50th Percentile","N","A"
"5B","5 DA AVG","5 Day Average","N","A"
"6A","6 MO MED","6 Month Median","N","A"
"6B","6HRMEAN","6 Hour Mean","N","A"
"6C","6HRGMEAN","6 Hour Geometric Mean","N","A"
"6D","6 MO AVG","6 Month Average","N","A"
"6E","6 HR AVG","6 Hour Average","N","A"
"6F","6 HR GEO","6 Hour Geometric","N","A"
"7A","7 DA AVG","7 Day Average","N","A"
"7B","7 DA GEO","7 Day Geometric","N","A"
"7C","7 DA MED","7 Day Median","N","A"
"7D","7 DA MIN","7 Day Minimum",,"A"
"7E","7 DA MAX","7 Day Maximum","N","A"
"7F","7DA ARI","7 Day Arithmetic","N","A"
"7G","7DA ARME","7 Day Arithemtic Mean","N","A"
"7H","75TH %","75th Percentile","N","A"
"7I","7DAV GEO","7-Day Average Geometric","N","A"
"7J","70TH %","70th Percentile","N","A"
"8A","80TH %","80th Percentile","N","A"
"9A","90TH %","90th Percentile","N","A"
"9B","90DA AVG","90 Day Average","N","A"
"9C","90%Samples","90% of Samples","N","A"
"9D","96 HOUR","96 Hour","N","A"
"A1","AVERAGE ","Average (Data Migration)","N","I"
"M5","MINIMUM ","Minimum (Data Migration)",,"I"
"M6","MAXIMUM ","Maximum (Data Migration)","N","I"
"AM","AN AV MN","Annual Average Minimum",,"A"
"AX","AN AV MX","Annual Average Maximum","N","A"
"X1","POSRSLTS","Positive Results","N","A"
"BA","MEDN MN","Median (Minimum)",,"A"
"BB","AVG MN","Average (Minimum)",,"A"
"BC","90TH% MN","90Th Percentile (Minimum)",,"A"
"BD","70TH% MN","70Th Percentile (Minimum)",,"A"
"BE","50TH% MN","50Th Percentile (Minimum)",,"A"
"BF","CUM TOTL","Cumulative Total","N","A"
"EX","SEAN MAX","Seasonal Maximum","N","A"
"GX","MX MO GMN","Maximum Monthly Geometric Mean","N","A"
"5Y","5 YR AVG","5 Year Average","N","A"
"TM","MO TOT MN","Monthly Total Minimum",,"A"
"NS","MNSINSAM","Minimum Single Sample",,"A"
"AN","ANNL MEDN","Annual Median","N","A"
"DP","14DAY AVG","14 Day Average","N","A"
"WT","WKLY TOT","Weekly Total","N","A"
"G5","5D GEOMEAN","5 Day Geometric Mean","N","A"
"AGM","AN GEOMEAN","Annual Geometric Mean","N","A"
"95P","95th %","95th Percentile","N","A"
"RM","Agg Rol Md","Aggregate 12 Mo Rolling Median","N","A"
"1M","M1 Average","Month 1 Average","N","A"
"2M","M2 Average","Month 2 Average","N","A"
"3M","M3 Average","Month 3 Average","N","A"
"85P","85th %","85th Percentile","N","A"
"12","12MO TOT","12-Month Total","N","A"
"9GM","90DA GM","90 Day Geometric Mean","N","A"
"5YX","5 YR MAX","5 Year Maximum","N","A"
