Date and time,Bidding zone - code,Bidding zone,Day ahead price (EUR/MWh)
0/11/24 12:00,FR,France,155.64
0/11/24 12:00,NL,Netherlands,120.00
0/11/24 12:00,BE,Belgium,235.00
0/11/24 12:00,DE_LU,Germany_Luxemburg,368.97
0/11/24 12:00,FR,France,206.85
0/11/24 12:00,NL,Netherlands,247.67
0/11/24 12:00,BE,Belgium,261.88
0/11/24 12:00,DE_LU,Germany_Luxemburg,377.12
0/11/24 12:00,FR,France,218.42
0/11/24 12:00,NL,Netherlands,300.10
0/11/24 12:00,BE,Belgium,237.14
0/11/24 12:00,DE_LU,Germany_Luxemburg,348.64
0/11/24 12:00,FR,France,160.15
0/11/24 12:00,NL,Netherlands,322.15
0/11/24 12:00,BE,Belgium,241.05
0/11/24 12:00,DE_LU,Germany_Luxemburg,379.99
0/11/24 12:00,FR,France,147.83
0/11/24 12:00,NL,Netherlands,319.32
0/11/24 12:00,BE,Belgium,244.04
0/11/24 12:00,DE_LU,Germany_Luxemburg,385.87
0/11/24 12:00,FR,France,149.99
0/11/24 12:00,NL,Netherlands,311.87
0/11/24 12:00,BE,Belgium,244.73
0/11/24 12:00,DE_LU,Germany_Luxemburg,404.91
0/11/24 12:00,FR,France,138.65
0/11/24 12:00,NL,Netherlands,319.45
0/11/24 12:00,BE,Belgium,266.33
0/11/24 12:00,DE_LU,Germany_Luxemburg,371.96
0/11/24 12:00,FR,France,142.05
0/11/24 12:00,NL,Netherlands,342.13
0/11/24 12:00,BE,Belgium,284.52
0/11/24 12:00,DE_LU,Germany_Luxemburg,380.94
0/11/24 12:00,FR,France,185.04
0/11/24 12:00,NL,Netherlands,355.39
0/11/24 12:00,BE,Belgium,319.69
0/11/24 12:00,DE_LU,Germany_Luxemburg,437.87
0/11/24 12:00,FR,France,237.94
0/11/24 12:00,NL,Netherlands,411.94
0/11/24 12:00,BE,Belgium,348.90
0/11/24 12:00,DE_LU,Germany_Luxemburg,445.08
0/11/24 12:00,FR,France,274.00
0/11/24 12:00,NL,Netherlands,423.13
0/11/24 12:00,BE,Belgium,310.02
0/11/24 12:00,DE_LU,Germany_Luxemburg,359.92
0/11/24 12:00,FR,France,276.00
0/11/24 12:00,NL,Netherlands,349.31
0/11/24 12:00,BE,Belgium,278.35
0/11/24 12:00,DE_LU,Germany_Luxemburg,341.25
0/11/24 12:00,FR,France,255.00
0/11/24 12:00,NL,Netherlands,298.32
0/11/24 12:00,BE,Belgium,186.66
0/11/24 12:00,DE_LU,Germany_Luxemburg,206.82
0/11/24 12:00,FR,France,179.07
0/11/24 12:00,NL,Netherlands,193.13
0/11/24 12:00,BE,Belgium,161.10
0/11/24 12:00,DE_LU,Germany_Luxemburg,171.20
0/11/24 12:00,FR,France,165.20
0/11/24 12:00,NL,Netherlands,154.68
0/11/24 12:00,BE,Belgium,150.00
0/11/24 12:00,DE_LU,Germany_Luxemburg,150.00
0/11/24 12:00,FR,France,150.00
0/11/24 12:00,NL,Netherlands,150.00
0/11/24 12:00,BE,Belgium,136.02
0/11/24 12:00,DE_LU,Germany_Luxemburg,135.96
0/11/24 12:00,FR,France,136.10
0/11/24 12:00,NL,Netherlands,135.96
0/11/24 12:00,BE,Belgium,122.24
0/11/24 12:00,DE_LU,Germany_Luxemburg,122.24
0/11/24 12:00,FR,France,122.24
0/11/24 12:00,NL,Netherlands,122.24
0/12/24 12:00,BE,Belgium,115.30
0/12/24 12:00,DE_LU,Germany_Luxemburg,115.30
0/12/24 12:00,FR,France,115.30
0/12/24 12:00,NL,Netherlands,115.30
0/12/24 12:00,BE,Belgium,109.96
0/12/24 12:00,DE_LU,Germany_Luxemburg,109.96
0/12/24 12:00,FR,France,109.96
0/12/24 12:00,NL,Netherlands,109.96
0/12/24 12:00,BE,Belgium,107.35
0/12/24 12:00,DE_LU,Germany_Luxemburg,107.35
0/12/24 12:00,FR,France,107.35
0/12/24 12:00,NL,Netherlands,107.35
0/12/24 12:00,BE,Belgium,112.51
0/12/24 12:00,DE_LU,Germany_Luxemburg,112.51
0/12/24 12:00,FR,France,112.51
0/12/24 12:00,NL,Netherlands,112.51
0/12/24 12:00,BE,Belgium,122.04
0/12/24 12:00,DE_LU,Germany_Luxemburg,123.67
0/12/24 12:00,FR,France,120.92
0/12/24 12:00,NL,Netherlands,123.37
0/12/24 12:00,BE,Belgium,150.17
0/12/24 12:00,DE_LU,Germany_Luxemburg,176.18
0/12/24 12:00,FR,France,137.51
0/12/24 12:00,NL,Netherlands,163.98
0/12/24 12:00,BE,Belgium,258.04
0/12/24 12:00,DE_LU,Germany_Luxemburg,599.99
0/12/24 12:00,FR,France,187.96
0/12/24 12:00,NL,Netherlands,232.97
0/12/24 12:00,BE,Belgium,389.15
0/12/24 12:00,DE_LU,Germany_Luxemburg,655.60
0/12/24 12:00,FR,France,249.96
0/12/24 12:00,NL,Netherlands,519.90
0/12/24 12:00,BE,Belgium,400.00
0/12/24 12:00,DE_LU,Germany_Luxemburg,646.76
0/12/24 12:00,FR,France,215.00
0/12/24 12:00,NL,Netherlands,581.48
0/12/24 12:00,BE,Belgium,363.37
0/12/24 12:00,DE_LU,Germany_Luxemburg,543.83
0/12/24 12:00,FR,France,166.95
0/12/24 12:00,NL,Netherlands,500.00
0/12/24 12:00,BE,Belgium,328.83
0/12/24 12:00,DE_LU,Germany_Luxemburg,465.36
0/12/24 12:00,FR,France,179.00
0/12/24 12:00,NL,Netherlands,433.69
0/12/24 12:00,BE,Belgium,293.07
0/12/24 12:00,DE_LU,Germany_Luxemburg,404.99
0/12/24 12:00,FR,France,167.39
0/12/24 12:00,NL,Netherlands,381.12
0/12/24 12:00,BE,Belgium,318.55
0/12/24 12:00,DE_LU,Germany_Luxemburg,415.30
0/12/24 12:00,FR,France,154.50
0/12/24 12:00,NL,Netherlands,400.10
0/12/24 12:00,BE,Belgium,352.89
0/12/24 12:00,DE_LU,Germany_Luxemburg,490.34
0/12/24 12:00,FR,France,154.50
0/12/24 12:00,NL,Netherlands,466.19
0/12/24 12:00,BE,Belgium,475.91
0/12/24 12:00,DE_LU,Germany_Luxemburg,668.49
0/12/24 12:00,FR,France,160.40
0/12/24 12:00,NL,Netherlands,637.86
0/12/24 12:00,BE,Belgium,551.00
0/12/24 12:00,DE_LU,Germany_Luxemburg,818.98
0/12/24 12:00,FR,France,220.00
0/12/24 12:00,NL,Netherlands,767.67
0/12/24 12:00,BE,Belgium,565.46
0/12/24 12:00,DE_LU,Germany_Luxemburg,936.28
0/12/24 12:00,FR,France,275.00
0/12/24 12:00,NL,Netherlands,872.96
0/12/24 12:00,BE,Belgium,433.07
0/12/24 12:00,DE_LU,Germany_Luxemburg,674.18
0/12/24 12:00,FR,France,277.00
0/12/24 12:00,NL,Netherlands,628.27
0/12/24 12:00,BE,Belgium,375.03
0/12/24 12:00,DE_LU,Germany_Luxemburg,551.01
0/12/24 12:00,FR,France,260.98
0/12/24 12:00,NL,Netherlands,517.50
0/12/24 12:00,BE,Belgium,241.61
0/12/24 12:00,DE_LU,Germany_Luxemburg,295.66
0/12/24 12:00,FR,France,206.44
0/12/24 12:00,NL,Netherlands,285.37
0/12/24 12:00,BE,Belgium,169.40
0/12/24 12:00,DE_LU,Germany_Luxemburg,169.40
0/12/24 12:00,FR,France,169.40
0/12/24 12:00,NL,Netherlands,169.40
0/12/24 12:00,BE,Belgium,150.00
0/12/24 12:00,DE_LU,Germany_Luxemburg,150.00
0/12/24 12:00,FR,France,150.00
0/12/24 12:00,NL,Netherlands,150.00
0/12/24 12:00,BE,Belgium,134.75
0/12/24 12:00,DE_LU,Germany_Luxemburg,134.75
0/12/24 12:00,FR,France,134.75
0/12/24 12:00,NL,Netherlands,134.75
0/12/24 12:00,BE,Belgium,130.07
0/12/24 12:00,DE_LU,Germany_Luxemburg,130.07
0/12/24 12:00,FR,France,130.07
0/12/24 12:00,NL,Netherlands,130.07
0/13/24 12:00,BE,Belgium,122.90
0/13/24 12:00,DE_LU,Germany_Luxemburg,122.90
0/13/24 12:00,FR,France,122.90
0/13/24 12:00,NL,Netherlands,122.90
0/13/24 12:00,BE,Belgium,118.97
0/13/24 12:00,DE_LU,Germany_Luxemburg,118.97
0/13/24 12:00,FR,France,118.97
0/13/24 12:00,NL,Netherlands,118.97
0/13/24 12:00,BE,Belgium,114.95
0/13/24 12:00,DE_LU,Germany_Luxemburg,114.95
0/13/24 12:00,FR,France,114.95
0/13/24 12:00,NL,Netherlands,114.95
0/13/24 12:00,BE,Belgium,115.64
0/13/24 12:00,DE_LU,Germany_Luxemburg,115.64
0/13/24 12:00,FR,France,115.64
0/13/24 12:00,NL,Netherlands,115.64
0/13/24 12:00,BE,Belgium,123.14
0/13/24 12:00,DE_LU,Germany_Luxemburg,125.83
0/13/24 12:00,FR,France,123.96
0/13/24 12:00,NL,Netherlands,119.90
0/13/24 12:00,BE,Belgium,143.95
0/13/24 12:00,DE_LU,Germany_Luxemburg,156.53
0/13/24 12:00,FR,France,138.00
0/13/24 12:00,NL,Netherlands,150.10
0/13/24 12:00,BE,Belgium,186.40
0/13/24 12:00,DE_LU,Germany_Luxemburg,187.71
0/13/24 12:00,FR,France,185.37
0/13/24 12:00,NL,Netherlands,187.48
0/13/24 12:00,BE,Belgium,253.00
0/13/24 12:00,DE_LU,Germany_Luxemburg,253.00
0/13/24 12:00,FR,France,253.00
0/13/24 12:00,NL,Netherlands,253.00
0/13/24 12:00,BE,Belgium,245.74
0/13/24 12:00,DE_LU,Germany_Luxemburg,245.74
0/13/24 12:00,FR,France,245.74
0/13/24 12:00,NL,Netherlands,245.74
0/13/24 12:00,BE,Belgium,208.42
0/13/24 12:00,DE_LU,Germany_Luxemburg,208.42
0/13/24 12:00,FR,France,208.42
0/13/24 12:00,NL,Netherlands,208.42
0/13/24 12:00,BE,Belgium,174.10
0/13/24 12:00,DE_LU,Germany_Luxemburg,174.40
0/13/24 12:00,FR,France,173.78
0/13/24 12:00,NL,Netherlands,174.27
0/13/24 12:00,BE,Belgium,165.84
0/13/24 12:00,DE_LU,Germany_Luxemburg,166.06
0/13/24 12:00,FR,France,165.60
0/13/24 12:00,NL,Netherlands,165.97
0/13/24 12:00,BE,Belgium,165.00
0/13/24 12:00,DE_LU,Germany_Luxemburg,165.00
0/13/24 12:00,FR,France,165.00
0/13/24 12:00,NL,Netherlands,165.00
0/13/24 12:00,BE,Belgium,184.50
0/13/24 12:00,DE_LU,Germany_Luxemburg,184.50
0/13/24 12:00,FR,France,184.50
0/13/24 12:00,NL,Netherlands,184.50
0/13/24 12:00,BE,Belgium,214.74
0/13/24 12:00,DE_LU,Germany_Luxemburg,220.77
0/13/24 12:00,FR,France,210.00
0/13/24 12:00,NL,Netherlands,219.84
0/13/24 12:00,BE,Belgium,245.43
0/13/24 12:00,DE_LU,Germany_Luxemburg,250.06
0/13/24 12:00,FR,France,241.91
0/13/24 12:00,NL,Netherlands,249.29
0/13/24 12:00,BE,Belgium,284.21
0/13/24 12:00,DE_LU,Germany_Luxemburg,284.21
0/13/24 12:00,FR,France,284.21
0/13/24 12:00,NL,Netherlands,284.21
0/13/24 12:00,BE,Belgium,260.00
0/13/24 12:00,DE_LU,Germany_Luxemburg,260.00
0/13/24 12:00,FR,France,260.00
0/13/24 12:00,NL,Netherlands,260.00
0/13/24 12:00,BE,Belgium,225.60
0/13/24 12:00,DE_LU,Germany_Luxemburg,225.60
0/13/24 12:00,FR,France,225.60
0/13/24 12:00,NL,Netherlands,225.60
0/13/24 12:00,BE,Belgium,175.00
0/13/24 12:00,DE_LU,Germany_Luxemburg,175.00
0/13/24 12:00,FR,France,175.00
0/13/24 12:00,NL,Netherlands,175.00
0/13/24 12:00,BE,Belgium,146.22
0/13/24 12:00,DE_LU,Germany_Luxemburg,146.22
0/13/24 12:00,FR,France,146.22
0/13/24 12:00,NL,Netherlands,146.22
0/13/24 12:00,BE,Belgium,135.09
0/13/24 12:00,DE_LU,Germany_Luxemburg,135.09
0/13/24 12:00,FR,France,135.09
0/13/24 12:00,NL,Netherlands,135.09
0/13/24 12:00,BE,Belgium,116.52
0/13/24 12:00,DE_LU,Germany_Luxemburg,116.52
0/13/24 12:00,FR,France,116.52
0/13/24 12:00,NL,Netherlands,116.52
0/13/24 12:00,BE,Belgium,116.94
0/13/24 12:00,DE_LU,Germany_Luxemburg,116.94
0/13/24 12:00,FR,France,116.94
0/13/24 12:00,NL,Netherlands,116.94
0/14/24 12:00,BE,Belgium,111.36
0/14/24 12:00,DE_LU,Germany_Luxemburg,111.36
0/14/24 12:00,FR,France,111.36
0/14/24 12:00,NL,Netherlands,111.36
0/14/24 12:00,BE,Belgium,108.04
0/14/24 12:00,DE_LU,Germany_Luxemburg,108.04
0/14/24 12:00,FR,France,108.04
0/14/24 12:00,NL,Netherlands,108.04
0/14/24 12:00,BE,Belgium,99.02
0/14/24 12:00,DE_LU,Germany_Luxemburg,99.02
0/14/24 12:00,FR,France,99.02
0/14/24 12:00,NL,Netherlands,99.02
0/14/24 12:00,BE,Belgium,93.44
0/14/24 12:00,DE_LU,Germany_Luxemburg,93.44
0/14/24 12:00,FR,France,93.44
0/14/24 12:00,NL,Netherlands,93.44
0/14/24 12:00,BE,Belgium,91.55
0/14/24 12:00,DE_LU,Germany_Luxemburg,91.55
0/14/24 12:00,FR,France,91.55
0/14/24 12:00,NL,Netherlands,91.55
0/14/24 12:00,BE,Belgium,93.23
0/14/24 12:00,DE_LU,Germany_Luxemburg,92.35
0/14/24 12:00,FR,France,94.09
0/14/24 12:00,NL,Netherlands,92.72
0/14/24 12:00,BE,Belgium,102.70
0/14/24 12:00,DE_LU,Germany_Luxemburg,101.67
0/14/24 12:00,FR,France,103.76
0/14/24 12:00,NL,Netherlands,102.11
0/14/24 12:00,BE,Belgium,114.26
0/14/24 12:00,DE_LU,Germany_Luxemburg,113.75
0/14/24 12:00,FR,France,114.77
0/14/24 12:00,NL,Netherlands,113.96
0/14/24 12:00,BE,Belgium,125.36
0/14/24 12:00,DE_LU,Germany_Luxemburg,124.98
0/14/24 12:00,FR,France,125.69
0/14/24 12:00,NL,Netherlands,125.10
0/14/24 12:00,BE,Belgium,121.50
0/14/24 12:00,DE_LU,Germany_Luxemburg,120.93
0/14/24 12:00,FR,France,122.00
0/14/24 12:00,NL,Netherlands,121.12
0/14/24 12:00,BE,Belgium,109.13
0/14/24 12:00,DE_LU,Germany_Luxemburg,107.48
0/14/24 12:00,FR,France,110.43
0/14/24 12:00,NL,Netherlands,108.21
0/14/24 12:00,BE,Belgium,110.01
0/14/24 12:00,DE_LU,Germany_Luxemburg,104.71
0/14/24 12:00,FR,France,109.73
0/14/24 12:00,NL,Netherlands,103.20
0/14/24 12:00,BE,Belgium,107.95
0/14/24 12:00,DE_LU,Germany_Luxemburg,102.96
0/14/24 12:00,FR,France,107.95
0/14/24 12:00,NL,Netherlands,102.96
0/14/24 12:00,BE,Belgium,104.07
0/14/24 12:00,DE_LU,Germany_Luxemburg,96.63
0/14/24 12:00,FR,France,104.07
0/14/24 12:00,NL,Netherlands,96.63
0/14/24 12:00,BE,Belgium,103.67
0/14/24 12:00,DE_LU,Germany_Luxemburg,98.24
0/14/24 12:00,FR,France,104.58
0/14/24 12:00,NL,Netherlands,100.10
0/14/24 12:00,BE,Belgium,112.29
0/14/24 12:00,DE_LU,Germany_Luxemburg,105.67
0/14/24 12:00,FR,France,112.29
0/14/24 12:00,NL,Netherlands,105.67
0/14/24 12:00,BE,Belgium,123.88
0/14/24 12:00,DE_LU,Germany_Luxemburg,121.12
0/14/24 12:00,FR,France,125.06
0/14/24 12:00,NL,Netherlands,120.00
0/14/24 12:00,BE,Belgium,129.50
0/14/24 12:00,DE_LU,Germany_Luxemburg,93.15
0/14/24 12:00,FR,France,124.62
0/14/24 12:00,NL,Netherlands,113.37
0/14/24 12:00,BE,Belgium,126.30
0/14/24 12:00,DE_LU,Germany_Luxemburg,95.60
0/14/24 12:00,FR,France,124.61
0/14/24 12:00,NL,Netherlands,90.10
0/14/24 12:00,BE,Belgium,110.29
0/14/24 12:00,DE_LU,Germany_Luxemburg,86.01
0/14/24 12:00,FR,France,109.17
0/14/24 12:00,NL,Netherlands,93.20
0/14/24 12:00,BE,Belgium,114.48
0/14/24 12:00,DE_LU,Germany_Luxemburg,82.78
0/14/24 12:00,FR,France,103.00
0/14/24 12:00,NL,Netherlands,89.62
0/14/24 12:00,BE,Belgium,124.69
0/14/24 12:00,DE_LU,Germany_Luxemburg,87.25
0/14/24 12:00,FR,France,110.11
0/14/24 12:00,NL,Netherlands,81.88
0/14/24 12:00,BE,Belgium,104.99
0/14/24 12:00,DE_LU,Germany_Luxemburg,73.81
0/14/24 12:00,FR,France,101.01
0/14/24 12:00,NL,Netherlands,80.20
0/14/24 12:00,BE,Belgium,86.72
0/14/24 12:00,DE_LU,Germany_Luxemburg,73.58
0/14/24 12:00,FR,France,86.56
0/14/24 12:00,NL,Netherlands,95.00
