Category,Energy product,Value (GWh)
Final consumption - other sectors - commercial and public services - energy use,Oil and petroleum products,85509
Final consumption - other sectors - commercial and public services - energy use,Renewables and biofuels,114658
Final consumption - other sectors - commercial and public services - energy use,Non-renewable waste,3314
Final consumption - other sectors - commercial and public services - energy use,Nuclear heat,0
Final consumption - other sectors - commercial and public services - energy use,Electricity,704218
Final consumption - other sectors - commercial and public services - energy use,Heat,104026
Final consumption - other sectors - households - energy use,Total,2667907
Final consumption - other sectors - households - energy use,Solid fossil fuels,61257
Final consumption - other sectors - households - energy use,Natural gas,786705
Final consumption - other sectors - households - energy use,Oil and petroleum products,278116
Final consumption - other sectors - households - energy use,Renewables and biofuels,629104
Final consumption - other sectors - households - energy use,Non-renewable waste,0
Final consumption - other sectors - households - energy use,Nuclear heat,0
Final consumption - other sectors - households - energy use,Electricity,688744
Final consumption - other sectors - households - energy use,Heat,223982
Final consumption - other sectors - not elsewhere specified - energy use,Total,377538
Final consumption - other sectors - not elsewhere specified - energy use,Solid fossil fuels,6739
Final consumption - other sectors - not elsewhere specified - energy use,Natural gas,38707
Final consumption - other sectors - not elsewhere specified - energy use,Oil and petroleum products,218100
Final consumption - other sectors - not elsewhere specified - energy use,Renewables and biofuels,56637
Final consumption - other sectors - not elsewhere specified - energy use,Non-renewable waste,1
Final consumption - other sectors - not elsewhere specified - energy use,Nuclear heat,0
Final consumption - other sectors - not elsewhere specified - energy use,Electricity,49428
Final consumption - other sectors - not elsewhere specified - energy use,Heat,7926
