Date,Technology,Estimated cost of hydrogen production [EUR/kg],Estimated cost of hydrogen production [EUR/MWh]
22/02/2024,SMR with CCS,2.20,65.50
22/02/2024,SMR without CCS,1.60,48.50
23/02/2024,Alcaline,3.90,116.20
23/02/2024,SMR with CCS,2.20,66.10
23/02/2024,SMR without CCS,1.60,49.00
26/02/2024,Alcaline,4.00,118.80
26/02/2024,SMR with CCS,2.20,67.30
26/02/2024,SMR without CCS,1.70,49.90
27/02/2024,Alcaline,4.00,119.00
27/02/2024,SMR with CCS,2.30,68.00
27/02/2024,SMR without CCS,1.70,50.60
28/02/2024,Alcaline,4.10,122.90
28/02/2024,SMR with CCS,2.30,69.50
28/02/2024,SMR without CCS,1.70,51.70
29/02/2024,Alcaline,4.00,120.20
29/02/2024,SMR with CCS,2.30,68.70
29/02/2024,SMR without CCS,1.70,51.10
01/03/2024,Alcaline,4.60,137.50
01/03/2024,SMR with CCS,2.20,66.30
01/03/2024,SMR without CCS,1.70,50.30
04/03/2024,Alcaline,4.60,139.50
04/03/2024,SMR with CCS,2.30,67.70
04/03/2024,SMR without CCS,1.70,51.50
05/03/2024,Alcaline,4.80,143.40
05/03/2024,SMR with CCS,2.30,69.10
05/03/2024,SMR without CCS,1.80,52.60
06/03/2024,Alcaline,4.80,145.60
06/03/2024,SMR with CCS,2.20,67.40
06/03/2024,SMR without CCS,1.70,51.00
07/03/2024,Alcaline,4.70,140.90
07/03/2024,SMR with CCS,2.20,66.70
07/03/2024,SMR without CCS,1.70,50.50
08/03/2024,Alcaline,4.60,138.50
08/03/2024,SMR with CCS,2.20,66.90
08/03/2024,SMR without CCS,1.70,50.90
11/03/2024,Alcaline,4.50,133.70
11/03/2024,SMR with CCS,2.20,64.60
11/03/2024,SMR without CCS,1.60,49.00
12/03/2024,Alcaline,4.50,134.10
12/03/2024,SMR with CCS,2.10,64.50
12/03/2024,SMR without CCS,1.60,48.80
13/03/2024,Alcaline,4.40,132.40
13/03/2024,SMR with CCS,2.10,64.30
13/03/2024,SMR without CCS,1.60,48.70
14/03/2024,Alcaline,4.30,129.70
14/03/2024,SMR with CCS,2.20,65.90
14/03/2024,SMR without CCS,1.70,50.30
15/03/2024,Alcaline,4.30,130.40
15/03/2024,SMR with CCS,2.30,67.60
15/03/2024,SMR without CCS,1.70,51.80
18/03/2024,Alcaline,4.50,136.20
18/03/2024,RFNBO compliant,6.40,192.50
18/03/2024,SMR with CCS,2.30,70.30
18/03/2024,SMR without CCS,1.80,54.00
18/03/2024,Minimum RFNBO compliant,5.80,175.40
18/03/2024,Maximum RFNBO compliant,6.80,205.40
19/03/2024,Alcaline,4.50,134.90
19/03/2024,RFNBO compliant,7.70,232.70
19/03/2024,SMR with CCS,2.30,70.50
19/03/2024,SMR without CCS,1.80,54.30
19/03/2024,Minimum RFNBO compliant,7.20,216.20
19/03/2024,Maximum RFNBO compliant,8.30,249.80
20/03/2024,Alcaline,4.50,134.00
20/03/2024,RFNBO compliant,7.70,232.40
20/03/2024,SMR with CCS,2.30,68.80
20/03/2024,SMR without CCS,1.80,52.70
20/03/2024,Minimum RFNBO compliant,7.20,215.90
20/03/2024,Maximum RFNBO compliant,8.30,248.00
21/03/2024,Alcaline,4.30,129.30
21/03/2024,RFNBO compliant,7.80,234.60
21/03/2024,SMR with CCS,2.20,66.80
21/03/2024,SMR without CCS,1.70,51.10
21/03/2024,Minimum RFNBO compliant,6.90,207.20
21/03/2024,Maximum RFNBO compliant,8.90,267.30
22/03/2024,Alcaline,4.40,131.50
22/03/2024,RFNBO compliant,7.20,215.80
22/03/2024,SMR with CCS,2.30,68.20
22/03/2024,SMR without CCS,1.70,52.30
22/03/2024,Minimum RFNBO compliant,5.90,177.20
22/03/2024,Maximum RFNBO compliant,8.20,247.10
25/03/2024,Alcaline,4.60,138.90
25/03/2024,RFNBO compliant,6.60,197.80
25/03/2024,SMR with CCS,2.30,70.20
25/03/2024,SMR without CCS,1.80,53.80
25/03/2024,Minimum RFNBO compliant,5.40,162.20
25/03/2024,Maximum RFNBO compliant,7.60,227.90
26/03/2024,Alcaline,4.50,134.70
26/03/2024,RFNBO compliant,7.10,212.80
26/03/2024,SMR with CCS,2.30,68.30
26/03/2024,SMR without CCS,1.70,52.20
26/03/2024,Minimum RFNBO compliant,5.40,162.20
26/03/2024,Maximum RFNBO compliant,8.60,257.10
27/03/2024,Alcaline,4.40,132.60
27/03/2024,RFNBO compliant,6.40,192.70
27/03/2024,SMR with CCS,2.30,68.70
27/03/2024,SMR without CCS,1.80,52.70
27/03/2024,Minimum RFNBO compliant,4.10,123.70
27/03/2024,Maximum RFNBO compliant,7.60,227.60
28/03/2024,Alcaline,4.40,131.90
28/03/2024,RFNBO compliant,6.50,195.00
28/03/2024,SMR with CCS,2.30,68.20
28/03/2024,SMR without CCS,1.70,52.30
28/03/2024,Minimum RFNBO compliant,3.90,116.80
28/03/2024,Maximum RFNBO compliant,8.20,245.00
02/04/2024,Alcaline,3.70,110.50
02/04/2024,RFNBO compliant,5.60,167.30
02/04/2024,SMR with CCS,2.00,61.50
02/04/2024,SMR without CCS,1.60,48.30
02/04/2024,Minimum RFNBO compliant,4.00,120.40
02/04/2024,Maximum RFNBO compliant,7.10,212.60
03/04/2024,Alcaline,3.70,110.50
03/04/2024,RFNBO compliant,5.50,166.10
03/04/2024,SMR with CCS,2.00,60.50
03/04/2024,SMR without CCS,1.60,47.40
03/04/2024,Minimum RFNBO compliant,4.70,139.60
03/04/2024,Maximum RFNBO compliant,6.50,195.50
04/04/2024,Alcaline,3.50,104.50
04/04/2024,RFNBO compliant,6.40,192.00
04/04/2024,SMR with CCS,2.00,60.80
04/04/2024,SMR without CCS,1.60,47.90
04/04/2024,Minimum RFNBO compliant,4.60,139.00
04/04/2024,Maximum RFNBO compliant,8.40,252.60
05/04/2024,Alcaline,3.50,106.20
05/04/2024,RFNBO compliant,5.90,175.90
05/04/2024,SMR with CCS,2.10,61.70
05/04/2024,SMR without CCS,1.60,48.70
05/04/2024,Minimum RFNBO compliant,4.50,134.80
05/04/2024,Maximum RFNBO compliant,7.30,219.80
08/04/2024,Alcaline,3.70,112.00
08/04/2024,RFNBO compliant,5.50,164.30
08/04/2024,SMR with CCS,2.10,63.50
08/04/2024,SMR without CCS,1.70,50.10
08/04/2024,Minimum RFNBO compliant,4.20,125.80
08/04/2024,Maximum RFNBO compliant,6.70,201.50
09/04/2024,Alcaline,3.80,114.90
09/04/2024,RFNBO compliant,6.40,191.90
09/04/2024,SMR with CCS,2.10,62.80
09/04/2024,SMR without CCS,1.60,49.40
09/04/2024,Minimum RFNBO compliant,4.20,127.00
09/04/2024,Maximum RFNBO compliant,8.50,254.10
10/04/2024,Alcaline,3.70,111.80
10/04/2024,RFNBO compliant,5.70,170.90
10/04/2024,SMR with CCS,2.10,62.80
10/04/2024,SMR without CCS,1.60,49.50
10/04/2024,Minimum RFNBO compliant,4.40,130.60
10/04/2024,Maximum RFNBO compliant,7.10,214.10
11/04/2024,Alcaline,4.00,121.50
11/04/2024,RFNBO compliant,6.30,187.80
11/04/2024,SMR with CCS,2.20,66.70
11/04/2024,SMR without CCS,1.70,52.50
11/04/2024,Minimum RFNBO compliant,4.50,134.50
11/04/2024,Maximum RFNBO compliant,7.60,228.80
12/04/2024,Alcaline,4.20,126.90
12/04/2024,RFNBO compliant,6.20,185.40
12/04/2024,SMR with CCS,2.30,68.80
12/04/2024,SMR without CCS,1.80,54.20
12/04/2024,Minimum RFNBO compliant,4.90,146.20
12/04/2024,Maximum RFNBO compliant,7.40,222.80
15/04/2024,Alcaline,4.30,129.10
15/04/2024,RFNBO compliant,6.20,187.30
15/04/2024,SMR with CCS,2.30,70.10
15/04/2024,SMR without CCS,1.80,55.30
15/04/2024,Minimum RFNBO compliant,5.40,163.10
15/04/2024,Maximum RFNBO compliant,7.10,214.40
16/04/2024,Alcaline,4.70,140.70
16/04/2024,RFNBO compliant,5.90,177.70
16/04/2024,SMR with CCS,2.50,73.90
16/04/2024,SMR without CCS,1.90,58.20
16/04/2024,Minimum RFNBO compliant,4.30,129.40
16/04/2024,Maximum RFNBO compliant,7.80,233.30
17/04/2024,Alcaline,4.40,131.10
17/04/2024,RFNBO compliant,5.70,170.70
17/04/2024,SMR with CCS,2.30,70.40
17/04/2024,SMR without CCS,1.80,55.40
17/04/2024,Minimum RFNBO compliant,4.20,124.90
17/04/2024,Maximum RFNBO compliant,7.30,219.50
18/04/2024,Alcaline,4.40,131.80
18/04/2024,RFNBO compliant,7.00,210.80
18/04/2024,SMR with CCS,2.40,71.60
18/04/2024,SMR without CCS,1.90,56.50
18/04/2024,Minimum RFNBO compliant,4.20,127.00
18/04/2024,Maximum RFNBO compliant,9.30,278.40
19/04/2024,Alcaline,4.40,131.90
19/04/2024,RFNBO compliant,7.10,211.80
19/04/2024,SMR with CCS,2.30,69.30
19/04/2024,SMR without CCS,1.80,54.40
19/04/2024,Minimum RFNBO compliant,4.20,127.30
19/04/2024,Maximum RFNBO compliant,8.80,264.00
22/04/2024,Alcaline,4.30,128.30
22/04/2024,RFNBO compliant,5.90,177.60
22/04/2024,SMR with CCS,2.20,66.90
22/04/2024,SMR without CCS,1.70,52.40
22/04/2024,Minimum RFNBO compliant,4.90,147.40
22/04/2024,Maximum RFNBO compliant,7.10,213.20
23/04/2024,Alcaline,4.30,128.60
23/04/2024,RFNBO compliant,7.00,211.00
23/04/2024,SMR with CCS,2.20,65.90
23/04/2024,SMR without CCS,1.70,51.50
23/04/2024,Minimum RFNBO compliant,4.00,120.70
23/04/2024,Maximum RFNBO compliant,9.00,271.50
24/04/2024,Alcaline,4.30,129.90
24/04/2024,RFNBO compliant,7.30,219.00
24/04/2024,SMR with CCS,2.20,67.10
24/04/2024,SMR without CCS,1.70,52.50
24/04/2024,Minimum RFNBO compliant,4.20,126.70
24/04/2024,Maximum RFNBO compliant,8.80,263.70
25/04/2024,Alcaline,4.30,129.70
25/04/2024,RFNBO compliant,7.10,213.40
25/04/2024,SMR with CCS,2.30,67.90
25/04/2024,SMR without CCS,1.80,53.20
25/04/2024,Minimum RFNBO compliant,4.90,147.10
25/04/2024,Maximum RFNBO compliant,8.60,259.50
26/04/2024,Alcaline,4.20,127.30
26/04/2024,RFNBO compliant,7.80,232.80
26/04/2024,SMR with CCS,2.20,66.40
26/04/2024,SMR without CCS,1.70,52.00
26/04/2024,Minimum RFNBO compliant,6.30,189.80
26/04/2024,Maximum RFNBO compliant,8.80,264.00
29/04/2024,Alcaline,4.10,123.60
29/04/2024,RFNBO compliant,7.90,236.70
29/04/2024,SMR with CCS,2.20,64.90
29/04/2024,SMR without CCS,1.70,50.80
29/04/2024,Minimum RFNBO compliant,7.00,211.10
29/04/2024,Maximum RFNBO compliant,8.70,260.40
30/04/2024,Alcaline,4.30,128.40
30/04/2024,RFNBO compliant,7.70,230.90
30/04/2024,SMR with CCS,2.20,67.00
30/04/2024,SMR without CCS,1.70,52.40
30/04/2024,Minimum RFNBO compliant,7.20,214.70
30/04/2024,Maximum RFNBO compliant,8.20,245.00
01/05/2024,Alcaline,4.50,135.90
01/05/2024,RFNBO compliant,7.20,215.50
01/05/2024,SMR with CCS,2.20,66.40
01/05/2024,SMR without CCS,1.70,51.60
01/05/2024,Minimum RFNBO compliant,6.60,198.20
01/05/2024,Maximum RFNBO compliant,7.70,230.30
02/05/2024,Alcaline,4.70,141.90
02/05/2024,RFNBO compliant,5.70,169.80
02/05/2024,SMR with CCS,2.30,70.10
02/05/2024,SMR without CCS,1.80,54.70
02/05/2024,Minimum RFNBO compliant,4.60,138.70
02/05/2024,Maximum RFNBO compliant,6.80,205.40
03/05/2024,Alcaline,4.70,141.20
03/05/2024,RFNBO compliant,5.70,169.90
03/05/2024,SMR with CCS,2.30,68.80
03/05/2024,SMR without CCS,1.80,53.60
03/05/2024,Minimum RFNBO compliant,4.70,140.80
03/05/2024,Maximum RFNBO compliant,6.80,202.70
07/05/2024,Alcaline,4.80,143.20
07/05/2024,RFNBO compliant,6.60,198.90
07/05/2024,SMR with CCS,2.30,70.00
07/05/2024,SMR without CCS,1.80,54.60
07/05/2024,Minimum RFNBO compliant,5.30,158.00
07/05/2024,Maximum RFNBO compliant,8.00,239.90
08/05/2024,Alcaline,4.70,141.80
08/05/2024,RFNBO compliant,7.50,226.70
08/05/2024,SMR with CCS,2.30,69.70
08/05/2024,SMR without CCS,1.80,54.40
08/05/2024,Minimum RFNBO compliant,6.00,179.60
08/05/2024,Maximum RFNBO compliant,9.00,270.60
09/05/2024,Alcaline,4.80,145.40
09/05/2024,RFNBO compliant,6.90,208.20
09/05/2024,SMR with CCS,2.30,70.30
09/05/2024,SMR without CCS,1.80,54.70
09/05/2024,Minimum RFNBO compliant,5.10,151.70
09/05/2024,Maximum RFNBO compliant,8.90,268.20
10/05/2024,Alcaline,4.70,140.50
10/05/2024,RFNBO compliant,6.50,194.10
10/05/2024,SMR with CCS,2.30,68.20
10/05/2024,SMR without CCS,1.80,53.00
10/05/2024,Minimum RFNBO compliant,5.20,154.70
10/05/2024,Maximum RFNBO compliant,7.60,226.70
13/05/2024,Alcaline,4.50,135.80
13/05/2024,RFNBO compliant,6.60,198.50
13/05/2024,SMR with CCS,2.30,67.70
13/05/2024,SMR without CCS,1.80,52.80
13/05/2024,Minimum RFNBO compliant,4.90,146.20
13/05/2024,Maximum RFNBO compliant,8.20,245.90
14/05/2024,Alcaline,4.50,133.60
14/05/2024,RFNBO compliant,6.00,180.90
14/05/2024,SMR with CCS,2.30,67.70
14/05/2024,SMR without CCS,1.80,52.90
14/05/2024,Minimum RFNBO compliant,5.20,156.50
14/05/2024,Maximum RFNBO compliant,6.90,207.50
15/05/2024,Alcaline,4.40,131.90
15/05/2024,RFNBO compliant,5.30,160.60
15/05/2024,SMR with CCS,2.20,67.50
15/05/2024,SMR without CCS,1.80,52.70
15/05/2024,Minimum RFNBO compliant,4.40,130.90
15/05/2024,Maximum RFNBO compliant,6.30,189.50
16/05/2024,Alcaline,4.40,133.20
16/05/2024,RFNBO compliant,6.10,181.70
16/05/2024,SMR with CCS,2.30,68.80
16/05/2024,SMR without CCS,1.80,53.90
16/05/2024,Minimum RFNBO compliant,4.80,143.50
16/05/2024,Maximum RFNBO compliant,7.40,223.10
17/05/2024,Alcaline,4.40,132.80
17/05/2024,RFNBO compliant,6.50,195.20
17/05/2024,SMR with CCS,2.30,68.80
17/05/2024,SMR without CCS,1.80,54.00
17/05/2024,Minimum RFNBO compliant,5.70,170.60
17/05/2024,Maximum RFNBO compliant,7.60,228.20
20/05/2024,Alcaline,4.70,141.40
20/05/2024,RFNBO compliant,7.20,216.70
20/05/2024,SMR with CCS,2.40,71.40
20/05/2024,SMR without CCS,1.90,55.90
20/05/2024,Minimum RFNBO compliant,6.20,186.80
20/05/2024,Maximum RFNBO compliant,8.10,243.50
21/05/2024,Alcaline,4.80,143.50
21/05/2024,RFNBO compliant,6.50,195.60
21/05/2024,SMR with CCS,2.40,73.20
21/05/2024,SMR without CCS,1.90,57.50
21/05/2024,Minimum RFNBO compliant,5.40,161.60
21/05/2024,Maximum RFNBO compliant,7.60,227.60
22/05/2024,Alcaline,4.90,145.90
22/05/2024,RFNBO compliant,7.10,212.20
22/05/2024,SMR with CCS,2.50,75.60
22/05/2024,SMR without CCS,2.00,59.60
22/05/2024,Minimum RFNBO compliant,5.80,174.20
22/05/2024,Maximum RFNBO compliant,8.10,241.70
23/05/2024,Alcaline,5.00,148.90
23/05/2024,RFNBO compliant,6.90,207.80
23/05/2024,SMR with CCS,2.60,76.90
23/05/2024,SMR without CCS,2.00,60.60
23/05/2024,Minimum RFNBO compliant,5.60,167.30
23/05/2024,Maximum RFNBO compliant,8.30,250.20
24/05/2024,Alcaline,4.90,147.10
24/05/2024,RFNBO compliant,7.60,228.40
24/05/2024,SMR with CCS,2.50,74.90
24/05/2024,SMR without CCS,2.00,58.80
24/05/2024,Minimum RFNBO compliant,6.40,192.20
24/05/2024,Maximum RFNBO compliant,8.80,264.30
28/05/2024,Alcaline,4.80,143.70
28/05/2024,RFNBO compliant,8.20,246.20
28/05/2024,SMR with CCS,2.50,74.00
28/05/2024,SMR without CCS,1.90,58.20
28/05/2024,Minimum RFNBO compliant,7.30,218.60
28/05/2024,Maximum RFNBO compliant,9.20,275.70
29/05/2024,Alcaline,4.70,142.20
29/05/2024,RFNBO compliant,7.00,208.80
29/05/2024,SMR with CCS,2.50,74.20
29/05/2024,SMR without CCS,1.90,58.40
29/05/2024,Minimum RFNBO compliant,5.10,152.30
29/05/2024,Maximum RFNBO compliant,8.70,260.10
30/05/2024,Alcaline,4.80,144.60
30/05/2024,RFNBO compliant,6.80,204.20
30/05/2024,SMR with CCS,2.50,76.00
30/05/2024,SMR without CCS,2.00,59.90
30/05/2024,Minimum RFNBO compliant,5.70,170.60
30/05/2024,Maximum RFNBO compliant,8.00,239.00
31/05/2024,Alcaline,4.80,144.50
31/05/2024,RFNBO compliant,6.70,201.20
31/05/2024,SMR with CCS,2.50,75.00
31/05/2024,SMR without CCS,2.00,59.10
31/05/2024,Minimum RFNBO compliant,4.40,131.20
31/05/2024,Maximum RFNBO compliant,9.00,271.20
03/06/2024,Alcaline,5.50,164.10
03/06/2024,RFNBO compliant,6.20,185.90
03/06/2024,SMR with CCS,2.60,78.40
03/06/2024,SMR without CCS,2.00,61.30
03/06/2024,Minimum RFNBO compliant,3.90,117.40
03/06/2024,Maximum RFNBO compliant,8.50,256.50
04/06/2024,Alcaline,5.00,149.30
04/06/2024,RFNBO compliant,7.40,220.90
04/06/2024,SMR with CCS,2.50,75.10
04/06/2024,SMR without CCS,2.00,58.90
04/06/2024,Minimum RFNBO compliant,5.40,160.70
04/06/2024,Maximum RFNBO compliant,9.60,289.20
05/06/2024,Alcaline,4.90,148.00
05/06/2024,RFNBO compliant,8.00,240.20
05/06/2024,SMR with CCS,2.50,74.00
05/06/2024,SMR without CCS,1.90,58.00
05/06/2024,Minimum RFNBO compliant,6.30,189.50
05/06/2024,Maximum RFNBO compliant,9.10,272.40
06/06/2024,Alcaline,4.90,147.70
06/06/2024,RFNBO compliant,7.60,228.10
06/06/2024,SMR with CCS,2.50,73.70
06/06/2024,SMR without CCS,1.90,57.70
06/06/2024,Minimum RFNBO compliant,6.00,179.90
06/06/2024,Maximum RFNBO compliant,8.60,258.90
07/06/2024,Alcaline,4.80,144.00
07/06/2024,RFNBO compliant,7.80,233.70
07/06/2024,SMR with CCS,2.40,73.20
07/06/2024,SMR without CCS,1.90,57.40
07/06/2024,Minimum RFNBO compliant,6.40,193.10
07/06/2024,Maximum RFNBO compliant,8.40,252.90
10/06/2024,Alcaline,4.80,143.60
10/06/2024,RFNBO compliant,7.60,228.40
10/06/2024,SMR with CCS,2.50,75.50
10/06/2024,SMR without CCS,2.00,59.50
10/06/2024,Minimum RFNBO compliant,6.70,200.90
10/06/2024,Maximum RFNBO compliant,8.10,243.80
11/06/2024,Alcaline,4.80,145.00
11/06/2024,RFNBO compliant,7.10,212.60
11/06/2024,SMR with CCS,2.50,74.80
11/06/2024,SMR without CCS,2.00,58.90
11/06/2024,Minimum RFNBO compliant,5.40,162.20
11/06/2024,Maximum RFNBO compliant,8.50,255.30
12/06/2024,Alcaline,4.90,147.50
12/06/2024,RFNBO compliant,7.00,209.20
12/06/2024,SMR with CCS,2.50,76.50
12/06/2024,SMR without CCS,2.00,60.30
12/06/2024,Minimum RFNBO compliant,6.30,188.60
12/06/2024,Maximum RFNBO compliant,7.30,217.70
13/06/2024,Alcaline,5.00,149.30
13/06/2024,RFNBO compliant,7.20,217.20
13/06/2024,SMR with CCS,2.60,77.30
13/06/2024,SMR without CCS,2.00,60.90
13/06/2024,Minimum RFNBO compliant,5.80,174.20
13/06/2024,Maximum RFNBO compliant,8.30,249.20
14/06/2024,Alcaline,4.90,146.70
14/06/2024,RFNBO compliant,7.40,221.40
14/06/2024,SMR with CCS,2.60,77.00
14/06/2024,SMR without CCS,2.00,60.80
14/06/2024,Minimum RFNBO compliant,5.30,160.10
14/06/2024,Maximum RFNBO compliant,8.70,260.40
17/06/2024,Alcaline,4.70,142.50
17/06/2024,RFNBO compliant,6.90,206.60
17/06/2024,SMR with CCS,2.50,75.00
17/06/2024,SMR without CCS,2.00,59.10
17/06/2024,Minimum RFNBO compliant,5.00,150.80
17/06/2024,Maximum RFNBO compliant,8.70,261.60
18/06/2024,Alcaline,4.80,143.60
18/06/2024,RFNBO compliant,7.20,215.60
18/06/2024,SMR with CCS,2.50,75.60
18/06/2024,SMR without CCS,2.00,59.60
18/06/2024,Minimum RFNBO compliant,5.50,164.90
18/06/2024,Maximum RFNBO compliant,8.80,262.80
19/06/2024,Alcaline,4.90,145.90
19/06/2024,RFNBO compliant,7.60,227.80
19/06/2024,SMR with CCS,2.60,76.70
19/06/2024,SMR without CCS,2.00,60.50
19/06/2024,Minimum RFNBO compliant,5.90,177.20
19/06/2024,Maximum RFNBO compliant,9.00,268.80
20/06/2024,Alcaline,4.80,145.30
20/06/2024,RFNBO compliant,7.70,231.50
20/06/2024,SMR with CCS,2.50,75.20
20/06/2024,SMR without CCS,2.00,59.20
20/06/2024,Minimum RFNBO compliant,6.60,199.40
20/06/2024,Maximum RFNBO compliant,8.40,251.40
21/06/2024,Alcaline,4.80,144.30
21/06/2024,RFNBO compliant,8.10,242.10
21/06/2024,SMR with CCS,2.50,74.70
21/06/2024,SMR without CCS,2.00,58.80
21/06/2024,Minimum RFNBO compliant,6.50,195.50
21/06/2024,Maximum RFNBO compliant,8.90,267.00
24/06/2024,Alcaline,4.70,141.40
24/06/2024,RFNBO compliant,8.40,251.10
24/06/2024,SMR with CCS,2.50,75.00
24/06/2024,SMR without CCS,2.00,59.20
24/06/2024,Minimum RFNBO compliant,7.50,226.40
24/06/2024,Maximum RFNBO compliant,9.00,271.20
25/06/2024,Alcaline,4.90,146.20
25/06/2024,RFNBO compliant,7.40,223.20
25/06/2024,SMR with CCS,2.50,76.00
25/06/2024,SMR without CCS,2.00,59.90
25/06/2024,Minimum RFNBO compliant,6.10,183.50
25/06/2024,Maximum RFNBO compliant,8.70,262.50
26/06/2024,Alcaline,4.80,142.90
26/06/2024,RFNBO compliant,7.30,219.70
26/06/2024,SMR with CCS,2.50,74.80
26/06/2024,SMR without CCS,2.00,58.90
26/06/2024,Minimum RFNBO compliant,6.20,185.30
26/06/2024,Maximum RFNBO compliant,8.00,239.90
27/06/2024,Alcaline,4.90,146.30
27/06/2024,RFNBO compliant,7.20,214.90
27/06/2024,SMR with CCS,2.50,75.30
27/06/2024,SMR without CCS,2.00,59.20
27/06/2024,Minimum RFNBO compliant,4.70,140.80
