Country,Year,Category,Hydrogen consumption [Mt]
Hungary,2023,Total hydrogen consumption,0.20
Hungary,2023,Ammonia,0.07
Hungary,2023,Blending in natural gas pipelines,0.00
Hungary,2023,Methanol,0.00
Hungary,2023,Novel hydrogen applications,0.01
Hungary,2023,Other,0.00
Hungary,2023,Other chemicals,0.06
Hungary,2023,Refining,0.06
Hungary,2024,Total hydrogen consumption,0.18
Hungary,2024,Ammonia,0.06
Hungary,2024,Blending in natural gas pipelines,0.00
Hungary,2024,Methanol,0.00
Hungary,2024,Novel hydrogen applications,0.01
Hungary,2024,Other,0.00
Hungary,2024,Other chemicals,0.06
Hungary,2024,Refining,0.06
Italy,2022,Total hydrogen consumption,0.61
Italy,2022,Ammonia,0.08
Italy,2022,Blending in natural gas pipelines,0.00
Italy,2022,Methanol,0.00
Italy,2022,Novel hydrogen applications,0.01
Italy,2022,Other,0.01
Italy,2022,Other chemicals,0.01
Italy,2022,Refining,0.50
Italy,2023,Total hydrogen consumption,0.55
Italy,2023,Ammonia,0.02
Italy,2023,Blending in natural gas pipelines,0.00
Italy,2023,Methanol,0.00
Italy,2023,Novel hydrogen applications,0.01
Italy,2023,Other,0.01
Italy,2023,Other chemicals,0.01
Italy,2023,Refining,0.51
Italy,2024,Total hydrogen consumption,0.56
Italy,2024,Ammonia,0.06
Italy,2024,Blending in natural gas pipelines,0.00
Italy,2024,Methanol,0.00
Italy,2024,Novel hydrogen applications,0.01
Italy,2024,Other,0.01
Italy,2024,Other chemicals,0.01
Italy,2024,Refining,0.47
Lithuania,2022,Total hydrogen consumption,0.14
Lithuania,2022,Ammonia,0.10
Lithuania,2022,Blending in natural gas pipelines,0.00
Lithuania,2022,Methanol,0.00
Lithuania,2022,Novel hydrogen applications,0.00
Lithuania,2022,Other,0.00
Lithuania,2022,Other chemicals,0.00
Lithuania,2022,Refining,0.05
Lithuania,2023,Total hydrogen consumption,0.14
Lithuania,2023,Ammonia,0.09
Lithuania,2023,Blending in natural gas pipelines,0.00
Lithuania,2023,Methanol,0.00
Lithuania,2023,Novel hydrogen applications,0.00
Lithuania,2023,Other,0.00
Lithuania,2023,Other chemicals,0.00
Lithuania,2023,Refining,0.05
Lithuania,2024,Total hydrogen consumption,0.14
Lithuania,2024,Ammonia,0.09
Lithuania,2024,Blending in natural gas pipelines,0.00
Lithuania,2024,Methanol,0.00
Lithuania,2024,Novel hydrogen applications,0.00
Lithuania,2024,Other,0.00
Lithuania,2024,Other chemicals,0.00
Lithuania,2024,Refining,0.05
Netherlands,2022,Total hydrogen consumption,1.01
Netherlands,2022,Ammonia,0.26
Netherlands,2022,Blending in natural gas pipelines,0.00
Netherlands,2022,Methanol,0.02
Netherlands,2022,Novel hydrogen applications,0.04
Netherlands,2022,Other,0.04
Netherlands,2022,Other chemicals,0.32
Netherlands,2022,Refining,0.33
Netherlands,2023,Total hydrogen consumption,1.20
Netherlands,2023,Ammonia,0.40
Netherlands,2023,Blending in natural gas pipelines,0.00
Netherlands,2023,Methanol,0.00
Netherlands,2023,Novel hydrogen applications,0.02
Netherlands,2023,Other,0.04
Netherlands,2023,Other chemicals,0.31
Netherlands,2023,Refining,0.44
Netherlands,2024,Total hydrogen consumption,1.05
Netherlands,2024,Ammonia,0.37
Netherlands,2024,Blending in natural gas pipelines,0.00
Netherlands,2024,Methanol,0.00
Netherlands,2024,Novel hydrogen applications,0.03
Netherlands,2024,Other,0.02
Netherlands,2024,Other chemicals,0.20
Netherlands,2024,Refining,0.43
Poland,2022,Total hydrogen consumption,0.78
Poland,2022,Ammonia,0.37
Poland,2022,Blending in natural gas pipelines,0.00
Poland,2022,Methanol,0.00
Poland,2022,Novel hydrogen applications,0.01
Poland,2022,Other,0.01
Poland,2022,Other chemicals,0.01
Poland,2022,Refining,0.38
Poland,2023,Total hydrogen consumption,0.73
Poland,2023,Ammonia,0.32
Poland,2023,Blending in natural gas pipelines,0.00
Poland,2023,Methanol,0.00
Poland,2023,Novel hydrogen applications,0.01
Poland,2023,Other,0.01
Poland,2023,Other chemicals,0.01
Poland,2023,Refining,0.38
Poland,2024,Total hydrogen consumption,0.68
Poland,2024,Ammonia,0.32
Poland,2024,Blending in natural gas pipelines,0.00
Poland,2024,Methanol,0.00
Poland,2024,Novel hydrogen applications,0.01
Poland,2024,Other,0.01
Poland,2024,Other chemicals,0.01
Poland,2024,Refining,0.33
Portugal,2022,Total hydrogen consumption,0.10
Portugal,2022,Ammonia,0.00
Portugal,2022,Blending in natural gas pipelines,0.00
Portugal,2022,Methanol,0.00
Portugal,2022,Novel hydrogen applications,0.01
Portugal,2022,Other,0.00
Portugal,2022,Other chemicals,0.01
Portugal,2022,Refining,0.09
Portugal,2023,Total hydrogen consumption,0.11
Portugal,2023,Ammonia,0.00
Portugal,2023,Blending in natural gas pipelines,0.00
Portugal,2023,Methanol,0.00
Portugal,2023,Novel hydrogen applications,0.00
Portugal,2023,Other,0.00
Portugal,2023,Other chemicals,0.01
Portugal,2023,Refining,0.10
Portugal,2024,Total hydrogen consumption,0.13
Portugal,2024,Ammonia,0.00
Portugal,2024,Blending in natural gas pipelines,0.00
Portugal,2024,Methanol,0.00
Portugal,2024,Novel hydrogen applications,0.00
Portugal,2024,Other,0.00
Portugal,2024,Other chemicals,0.01
Portugal,2024,Refining,0.12
Romania,2022,Total hydrogen consumption,0.13
Romania,2022,Ammonia,0.04
Romania,2022,Blending in natural gas pipelines,0.00
Romania,2022,Methanol,0.01
Romania,2022,Novel hydrogen applications,0.00
Romania,2022,Other,0.00
Romania,2022,Other chemicals,0.00
Romania,2022,Refining,0.07
Romania,2023,Total hydrogen consumption,0.10
Romania,2023,Ammonia,0.01
Romania,2023,Blending in natural gas pipelines,0.00
Romania,2023,Methanol,0.02
Romania,2023,Novel hydrogen applications,0.00
Romania,2023,Other,0.00
Romania,2023,Other chemicals,0.00
Romania,2023,Refining,0.06
Romania,2024,Total hydrogen consumption,0.12
Romania,2024,Ammonia,0.05
Romania,2024,Blending in natural gas pipelines,0.00
Romania,2024,Methanol,0.00
Romania,2024,Novel hydrogen applications,0.00
Romania,2024,Other,0.00
Romania,2024,Other chemicals,0.00
Romania,2024,Refining,0.07
Sweden,2022,Total hydrogen consumption,0.17
Sweden,2022,Ammonia,0.00
Sweden,2022,Blending in natural gas pipelines,0.00
Sweden,2022,Methanol,0.01
Sweden,2022,Novel hydrogen applications,0.01
Sweden,2022,Other,0.00
Sweden,2022,Other chemicals,0.02
Sweden,2022,Refining,0.13
Sweden,2023,Total hydrogen consumption,0.16
Sweden,2023,Ammonia,0.00
Sweden,2023,Blending in natural gas pipelines,0.00
Sweden,2023,Methanol,0.01
Sweden,2023,Novel hydrogen applications,0.01
Sweden,2023,Other,0.00
Sweden,2023,Other chemicals,0.02
Sweden,2023,Refining,0.12
Sweden,2024,Total hydrogen consumption,0.16
Sweden,2024,Ammonia,0.00
Sweden,2024,Blending in natural gas pipelines,0.00
Sweden,2024,Methanol,0.00
Sweden,2024,Novel hydrogen applications,0.01
Sweden,2024,Other,0.00
Sweden,2024,Other chemicals,0.02
Sweden,2024,Refining,0.12
Slovakia,2022,Total hydrogen consumption,0.10
Slovakia,2022,Ammonia,0.01
Slovakia,2022,Blending in natural gas pipelines,0.00
Slovakia,2022,Methanol,0.00
Slovakia,2022,Novel hydrogen applications,0.00
Slovakia,2022,Other,0.00
Slovakia,2022,Other chemicals,0.00
Slovakia,2022,Refining,0.09
Slovakia,2023,Total hydrogen consumption,0.17
Slovakia,2023,Ammonia,0.08
Slovakia,2023,Blending in natural gas pipelines,0.00
Slovakia,2023,Methanol,0.00
Slovakia,2023,Novel hydrogen applications,0.00
Slovakia,2023,Other,0.00
Slovakia,2023,Other chemicals,0.01
Slovakia,2023,Refining,0.08
Slovakia,2024,Total hydrogen consumption,0.16
Slovakia,2024,Ammonia,0.08
Slovakia,2024,Blending in natural gas pipelines,0.00
Slovakia,2024,Methanol,0.00
Slovakia,2024,Novel hydrogen applications,0.00
Slovakia,2024,Other,0.00
Slovakia,2024,Other chemicals,0.01
Slovakia,2024,Refining,0.07
