"Last Updated On",1/27/2026,
Generation Interconnection Number,IFS Queue Number,Current Cluster,Cluster Group, Nearest Town or County,State,TO at POI,In-Service Date,Commercial Operation Date,Cessation Date,Original Generator Commercial Op Date,Capacity,MAX Summer MW,MAX Winter MW,Service Type,Requested Maximum Injection Capability (MW),Requested Network Resource Deliverability (MW),Nameplate Capacity,Generation Type,Fuel Type,Substation or Line,Request Received,Date Withdrawn,Status,JTIQ Participant,JTIQ Commitment,Cause of Delay
"GEN-2025-SR15","","Surplus","04 SOUTHEAST","Newcastle","OK","OG&E",,"12/1/2029",,,"125","125","125","ER","0","0","0","Thermal","","McClain Substation","5/31/2025",,"None","N/A","",""
"GEN-2025-SR14","","Surplus","04 SOUTHEAST","Oklahoma City","OK","OG&E",,"5/1/2030",,,"183","183","183","ER","0","0","0","Battery/Storage","","Mustang 138 KV Substation","5/31/2025",,"None","N/A","",""
"GEN-2025-SR13","","Surplus","04 SOUTHEAST","Konawa","OK","OG&E",,"12/1/2029",,,"130","130","130","ER","0","0","0","Thermal","","Seminole Substation","5/31/2025",,"None","N/A","",""
"GEN-2025-SR12","","Surplus","04 SOUTHEAST","Red Rock","OK","OG&E",,"5/1/2030",,,"116","116","116","ER","0","0","0","Battery/Storage","","Sooner Substation","5/31/2025",,"None","N/A","",""
"GEN-2025-SR11","","Surplus","04 SOUTHEAST","Red Rock","OK","OG&E",,"5/1/2030",,,"112","112","112","ER","0","0","0","Battery/Storage","","Sooner Substation","5/31/2025",,"None","N/A","",""
"GEN-2025-SR10","","Surplus","04 SOUTHEAST","Konawa","OK","OG&E",,"4/30/2030",,,"238","238","238","ER","0","0","0","Thermal","","Seminole 345 KV Substation","5/31/2025",,"None","N/A","",""
"GEN-2025-SR1","","Surplus","03 CENTRAL","Clinton","MO","KCPL",,"3/7/2027",,,"400","400","400","ER/NR","0","0","0","Battery/Storage","","Stillwell - Clinton 161kV Line","4/4/2025",,"FACILITY STUDY STAGE","N/A","",""
"GEN-2025-GR6","","Replacement","05 SOUTHWEST","Dimmit","TX","SPS",,,"10/24/2025",,"300","300","300","ER","0","0","0","Wind","","Castro County 115kV","11/7/2025",,"None","N/A","",""
"GEN-2025-GR5","","Replacement","01 NORTH","Minot","ND","WAPA",,,"6/1/2026",,"7.7","7.7","7.7","ER/NR","0","0","0","Wind","","Nelson Tap","10/6/2025",,"None","N/A","",""
"GEN-2025-GR4","","Replacement","01 NORTH","Plankinton","SD","WAPA",,,"6/1/2026",,"10.8","10.8","10.8","ER/NR","0","0","0","Wind","","Wessington Springs","10/6/2025",,"None","N/A","",""
"GEN-2025-GR3","","Replacement","01 NORTH","Max","ND","WAPA",,,"6/1/2026",,"0.03","0.03","0.03","ER/NR","0","0","0","Wind","","SW Minot","10/6/2025",,"None","N/A","",""
"GEN-2025-GR2","","Replacement","05 SOUTHWEST","Elida","NM","SPS",,,"1/15/2027",,"120","120","120","ER","0","0","0","Wind","","San Juan Mesa 230 kV Substation","6/30/2025",,"FACILITY STUDY STAGE","N/A","",""
"GEN-2025-GR1","","Replacement","04 SOUTHEAST","Medford","OK","OG&E",,"5/1/2027","12/31/2026","3/11/2016","300","300","300","ER","0","0","0","Wind","","OG&E Renfrow 345kV Substation","12/17/2024",,"IA PENDING","N/A","",""
"GEN-2024-SR9","","Surplus","05 SOUTHWEST","Beaver County","OK","OG&E",,"1/1/2027",,,"150","150","150","ER","0","0","0","Battery/Storage","","Beaver County Substation 345 kV","1/26/2024",,"IA PENDING","N/A","",""
"GEN-2024-SR8","","Surplus","02 NEBRASKA","Greely County","NE","NPPD",,"12/31/2026",,,"70","70","70","ER","0","0","0","Battery/Storage","","Spalding to North Loup 115kV","4/3/2024",,"FACILITY STUDY STAGE","N/A","",""
"GEN-2024-SR7","","Surplus","05 SOUTHWEST","Beaver County","OK","OG&E",,"6/1/2027",,,"200","200","200","ER","0","0","0","Solar","","Beaver County Substation 345 kV","1/26/2024",,"IA PENDING","N/A","",""
"GEN-2024-SR6","","Surplus","04 SOUTHEAST","Johnston County","OK","OG&E",,,,,"200","200","200","ER","0","0","0","Battery/Storage","","Interconnecting at Hugo - Sunnyside 345 kV transmission line","2/20/2024",,"IA PENDING","N/A","",""
"GEN-2024-SR5","","Surplus","04 SOUTHEAST","Drumright","OK","OG&E",,"6/1/2026",,,"176.9","176.9","176.9","ER","0","0","0","Battery/Storage","","138 kV Greenwood Station","2/7/2024",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2024-SR3","","Surplus","04 SOUTHEAST","Lincoln County","OK","OG&E",,"5/1/2026",,,"72.5","72.5","72.5","ER/NR","0","0","0","Battery/Storage","","138 kV TRYON 3 (Bus # 515675","2/1/2024",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2024-SR2","","Surplus","04 SOUTHEAST","Franklin County","AR","OG&E",,"3/1/2027",,,"72.5","72.5","72.5","ER/NR","0","0","0","Battery/Storage","","161 kV BRANCH 5 (Bus # 515316)","2/6/2024",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2024-SR17","","Surplus","04 SOUTHEAST","Kay","OK","OG&E",,"5/1/2027",,,"50","50","50","ER/NR","0","0","0","Battery/Storage","","Tap Medford Tap – Coyote 138kV","12/26/2024",,"IA PENDING","N/A","",""
"GEN-2024-SR16","","Surplus","04 SOUTHEAST","Oologah","OK","AEP",,"12/31/2026",,,"100","100","100","ER","0","0","0","Battery/Storage","","Northeastern 138kV","12/3/2024",,"IA PENDING","N/A","",""
"GEN-2024-SR15","","Surplus","05 SOUTHWEST","Yoakum","TX","SPS",,"5/1/2026",,,"300","300","300","ER","0","0","0","Battery/Storage","","Mahoney 230kV Substation","10/24/2024",,"IA PENDING","N/A","",""
"GEN-2024-SR14","","Surplus","05 SOUTHWEST","Lea County","NM","Xcel/SPS",,"4/1/2026",,,"36","36","36","ER","0","0","0","Battery/Storage","","Cunningham 115kV","7/8/2024",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2024-SR13","","Surplus","04 SOUTHEAST","Bryan County","OK","OG&E",,"6/1/2026",,,"52.2","52.2","52.2","ER/NR","0","0","0","Battery/Storage","","Brown 138kV Substation","5/1/2024",,"IA PENDING","N/A","",""
"GEN-2024-SR12","","Surplus","01 NORTH","La Moure County","ND","WAPA",,"10/1/2026",,,"20","20","20","ER","0","0","0","Battery/Storage","","Edgeley 115 kV Substation","5/21/2024",,"IA PENDING","N/A","",""
"GEN-2024-SR11","","Surplus","04 SOUTHEAST","Garfield","OK","OGE",,"12/2/2025",,,"200","200","200","ER/NR","0","0","0","Battery/Storage","","Woodring 345kV Substation","5/7/2024",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2024-SR10","","Surplus","02 NEBRASKA","Lancaster","NE","NPPD",,"12/31/2026",,,"80","80","80","ER/NR","0","0","0","Battery/Storage","","Monolith 115kV","4/22/2024",,"FACILITY STUDY STAGE","N/A","",""
"GEN-2024-GR6","","Replacement","04 SOUTHEAST","Newkirk","OK","OG&E",,"5/1/2027","12/1/2026",,"300","300","300","ER","0","0","0","Wind","","Open Sky 345kV Substation","7/25/2024",,"IA PENDING","N/A","",""
"GEN-2024-GR5","","Replacement","04 SOUTHEAST","Chouteau","OK","GRDA",,"10/1/2026","10/1/2026",,"594","554","594","ER","0","0","0","Hybrid","Gas/Storage","GREC #2 Interconnect Substation – 345kV","8/2/2024",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2024-GR4","","Replacement","03 CENTRAL","Riverton","KS","EDE",,"5/8/2026","3/15/2026",,"27.14","27.14","27.14","ER","0","0","0","Thermal","","Riverton 452","7/25/2024",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2024-GR3","","Replacement","05 SOUTHWEST","Lea County","NM","Xcel/SPS",,"4/1/2027","4/1/2027",,"196","196","196","ER","0","0","0","Solar","","230kV Cunningham Substation","6/7/2024",,"IA PENDING","N/A","",""
"GEN-2024-GR1","","Replacement","04 SOUTHEAST","Harrah","OK","OG&E",,"12/31/2026","12/31/2026",,"492","492","492","ER","0","0","0","Thermal","CTG","Horseshoe Lake 138kV","1/8/2024",,"IA FULLY EXECUTED/ON SCHEDULE","N/A","",""
"GEN-2024-379","","DISIS-2024-001","04 SOUTHEAST","Bossier Parish","LA","AEP","5/1/2030","12/15/2031",,,"1350","1310","1350","ER/NR","1350","1350","1694.135","Thermal","Gas","Longwood - El Dorado 345 kV Line","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-377","","DISIS-2024-001","04 SOUTHEAST","Harrison","TX","AEP","1/5/2030","12/15/2031",,,"1350","1310","1350","ER/NR","1350","1350","1694.135","Thermal","Gas","Pirkey 345 kV Substation","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-376","","DISIS-2024-001","04 SOUTHEAST","Sabine","TX","ETEC","8/15/2028","12/29/2028",,,"142.183","142.18","142.18","ER/NR","142.183","142.183","145","Solar","Photovoltaic","Hemphill 138 kV Substation","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-375","","DISIS-2024-001","03 CENTRAL","Saline","MO","WERE","2/1/2029","3/1/2029",,,"100","100","100","ER/NR","100","100","104.506","Battery/Storage","Battery","Malta Bend - Norton 161 kV Line","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-374","","DISIS-2024-001","02 NEBRASKA","Scotts Bluff","NE","BEPC","3/31/2030","6/30/2030",,,"225","225","225","ER/NR","225","225","229","Solar","Photovoltaic","Stegall 345 kV Substation","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-373","","DISIS-2024-001","04 SOUTHEAST","Choctaw","OK","WFEC","6/30/2029","8/1/2029",,,"120","120","120","ER/NR","120","120","247.151","Hybrid","Solar/Storage","Unger - West Bank Tap 138 kV Line","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-372","","DISIS-2024-001","02 NEBRASKA","Douglas","NE","OPPD","12/1/2027","3/1/2028",,,"250","250","250","ER/NR","250","250","259","Battery/Storage","Battery","S1247 161 kV Substation","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-371","","DISIS-2024-001","05 SOUTHWEST","Lea","NM","SPS","12/1/2027","3/1/2028",,,"250","250","250","ER/NR","250","250","259","Battery/Storage","Battery","Maddox 115 kV Substation","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-370","","DISIS-2024-001","03 CENTRAL","Clay","MO","WERE","12/1/2028","3/1/2028",,,"250","250","250","ER/NR","250","250","259","Battery/Storage","Battery","Smithville 161 kV Substation","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-369","","DISIS-2024-001","04 SOUTHEAST","Grady","OK","AEP","12/1/2027","3/1/2028",,,"250","250","250","ER/NR","250","250","259","Battery/Storage","Battery","Cornville 138 kV Substation","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-368","","DISIS-2024-001","05 SOUTHWEST","Gray","TX","SPS","12/1/2027","3/1/2028",,,"250","250","250","ER/NR","250","250","259","Battery/Storage","Battery","Bowers 115 kV Substation","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-367","","DISIS-2024-001","04 SOUTHEAST","Comanche","OK","AEP","12/1/2027","3/1/2028",,,"250","250","250","ER/NR","250","250","259","Battery/Storage","Battery","Lawton East Side 345 kV Substation","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-366","","DISIS-2024-001","05 SOUTHWEST","Lea","NM","SPS","3/31/2030","6/30/2030",,,"200","200","200","ER/NR","200","200","216","Wind","Wind","Hobbs - Yoakum 345 kV Line","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-365","","DISIS-2024-001","05 SOUTHWEST","Lea","NM","SPS","3/31/2030","6/30/2030",,,"200","200","200","ER/NR","200","200","216","Wind","Wind","Hobbs - Yoakum 345 kV Line","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-364","","DISIS-2024-001","05 SOUTHWEST","Randall","TX","SPS","3/1/2028","10/1/2028",,,"300","300","300","ER/NR","300","300","610.84","Hybrid","Solar/Storage","Bushland 230 kV Substation","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-362","","DISIS-2024-001","04 SOUTHEAST","Grady","OK","AEP","2/28/2029","6/30/2029",,,"140","140","140","ER/NR","140","140","290.89","Hybrid","Solar/Storage","Leonard 138 kV Substation","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-361","","DISIS-2024-001","04 SOUTHEAST","Lincoln","OK","OGE","2/28/2029","6/30/2029",,,"80","80","80","ER/NR","80","80","168.62","Hybrid","Solar/Storage","Spring Valley - Warwick 138 kV line","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-360","","DISIS-2024-001","04 SOUTHEAST","Konawa","OK","OGE","2/28/2029","6/30/2029",,,"160","160","160","ER/NR","160","160","329.03","Hybrid","Solar/Storage","Seminole - Maud 138 kV Line","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-359","","DISIS-2024-001","01 NORTH","Stark","ND","WAPA","8/15/2030","11/15/2030",,,"100","100","100","ER/NR","100","100","117.6","Battery/Storage","Battery","Belfield 345 kV Substation","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-355","","DISIS-2024-001","05 SOUTHWEST","Lubbock","TX","SPS","7/30/2029","12/30/2030",,,"199","199","199","ER/NR","199","199","209.2","Battery/Storage","Battery","Lubbock South  230 kV Substation","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-352","","DISIS-2024-001","03 CENTRAL","Jackson","MO","WERE","7/30/2030","12/30/2030",,,"199","199","199","ER/NR","199","199","206.45","Battery/Storage","Battery","Sibley 345 kV Substation","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-351","","DISIS-2024-001","05 SOUTHWEST","Lea","NM","SPS","10/30/2028","4/30/2029",,,"199","199","199","ER/NR","199","199","412.364","Hybrid","Solar/Storage","Cooper Ranch 115 kV Substation","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-346","","DISIS-2024-001","04 SOUTHEAST","Nowata","OK","AEP","8/1/2030","12/31/2030",,,"220","220","220","ER/NR","220","220","234","Wind","Wind","Coffeyville Tap - North Barlettsville 138 kV Line","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-345","","DISIS-2024-001","04 SOUTHEAST","Nowata","OK","AEP","8/1/2030","12/31/2030",,,"600","600","600","ER/NR","600","600","630","Wind","Wind","Delaware 345 kV Substation","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-344","","DISIS-2024-001","04 SOUTHEAST","Lincoln","OK","OGE/AEP","8/1/2030","12/31/2030",,,"200","200","200","ER/NR","200","200","211.5","Wind","Wind","Riverside - Redbud Switch 345 kV Line ","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-343","","DISIS-2024-001","04 SOUTHEAST","Harrison","TX","AEP","12/1/2029","6/1/2030",,,"470.5","445.67","470.5","ER/NR","470.5","470.5","510","Thermal","Gas","LeBrock 345 kV Substation","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-341","","DISIS-2024-001","04 SOUTHEAST","Pittsburgh","OK","AEP","11/11/2030","11/10/2031",,,"1045","980","1045","ER/NR","1045","980","1077.8","Thermal","Gas","Pittsburgh 345 kV Substation","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-340","","DISIS-2024-001","04 SOUTHEAST","Creek","OK","AEP","12/1/2030","1/1/2032",,,"1400","1400","1400","ER/NR","1400","1400","1440","Thermal","Gas","Riverside – Redbud 345 kV line","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-339","","DISIS-2024-001","03 CENTRAL","Lavenworth ","KS","WERE","3/1/2029","6/30/2029",,,"300","300","300","ER/NR","300","300","311.89","Battery/Storage","Battery","Stranger Creek 115 kV Substation","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-338","","DISIS-2024-001","04 SOUTHEAST","Johnston ","OK","AEP","3/31/2030","5/31/2030",,,"350","350","350","ER/NR","350","350","413.6","Solar","Photovoltaic","Pittsburg - Johnston County 345 kV line","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-337","","DISIS-2024-001","04 SOUTHEAST","Carter","OK","OGE","12/17/2029","12/17/2029",,,"250","250","250","ER/NR","250","250","250","Hybrid","Solar/Storage","Sunnyside - Pooleville 138 kV line","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-336","","DISIS-2024-001","05 SOUTHWEST","Yoakum","TX","SPS","10/30/2028","4/30/2029",,,"300","300","300","ER/NR","300","300","622.19","Hybrid","Solar/Storage","Ink Basin 230 kV Substation","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-334","","DISIS-2024-001","04 SOUTHEAST","Kay","OK","OGE","3/1/2029","6/1/2029",,,"124","100.6","124","ER/NR","124","124","126.4","Thermal","Gas","Ranch Road 345 kV Substation","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-333","","DISIS-2024-001","04 SOUTHEAST","Oklahoma ","OK","OGE","2/1/2027","4/1/2027",,,"100","100","100","ER/NR","100","100","101.85","Battery/Storage","Battery","Kelley Avenue 138 kV","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-332","","DISIS-2024-001","04 SOUTHEAST","Oklahoma ","OK","OGE","2/1/2027","4/1/2027",,,"150","150","150","ER/NR","150","150","154.92","Battery/Storage","Battery","Discovery 138 kV Substation","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-331","","DISIS-2024-001","01 NORTH","Halliday ","ND","BEPC","7/1/2027","1/1/2028",,,"300","300","300","ER/NR","300","300","306.95","Battery/Storage","Battery","Round Up 345 kV Substation","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-330","","DISIS-2024-001","03 CENTRAL","Butler","KS","WERE","7/1/2027","1/1/2028",,,"225","225","225","ER/NR","225","225","230.62","Battery/Storage","Battery","Midian 138 kV Substation","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-329","","DISIS-2024-001","01 NORTH","Williams","ND","MWEC","7/1/2027","1/1/2028",,,"200","200","200","ER/NR","200","200","204.01","Battery/Storage","Battery","Pleasant Valley 115 kV Substation","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-328","","DISIS-2024-001","01 NORTH","Slope","MT","BEPC","7/1/2027","1/1/2028",,,"250","250","250","ER/NR","250","250","257.23","Battery/Storage","Battery","Little Missouri 230 kV Substation","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-327","","DISIS-2024-001","01 NORTH","Ward","ND","CPEC","7/1/2027","1/1/2028",,,"200","200","200","ER/NR","200","200","206.48","Battery/Storage","Battery","Berthold 115 kV Substation","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-326","","DISIS-2024-001","01 NORTH","Stark","ND","WAPA","7/1/2027","1/1/2028",,,"225","225","225","ER/NR","225","225","230.62","Battery/Storage","Battery","Belfield 230 kV Substation","3/1/2025",,"DISIS STAGE","Yes","",""
"GEN-2024-325","","DISIS-2024-001","05 SOUTHWEST","Chaves","NM","SPS","7/1/2027","1/1/2028",,,"150","150","150","ER/NR","150","150","155.23","Battery/Storage","Battery","Sierra 115 kV Substation","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-324","","DISIS-2024-001","05 SOUTHWEST","Chaves","NM","SPS","1/7/2027","1/1/2028",,,"160","160","160","ER/NR","160","160","164.095","Battery/Storage","Battery","Samson 115 kV Substation","3/1/2025",,"DISIS STAGE","No","",""
"GEN-2024-323","","DISIS-2024-001","04 SOUTHEAST","Choctaw","OK","ITCGP","1/2/2029","5/1/2029",,,"356.8","356.8","356.8","ER","356.8","0","372","Thermal","Gas","ITC Hugo 7 345 kV Substation","3/1/2025",,"DISIS STAGE","Yes","",""
