The Mobility House,"NLD, FRA, USA",Storage projects,"ESS aus 1st, 2nd-life Fahrzeugbatterien","1st, 2nd-life vehicle batteries of various car manufacturers",variabel,variabel,no,yes,02/21
TESVOLT GmbH,worldwide,Storage system,TS 48 Volt - 2 Module,Li-NMC by Samsung SDI,9.6 (constant at 1C),9.6,no,yes,02/21
TESVOLT GmbH,worldwide,Storage system,TS 48 Volt - 40 Module,Li-NMC by Samsung SDI,192 (constant at 1C),192,no,yes,02/21
TESVOLT GmbH,worldwide,Storage system,TS 48 Volt - 768 Module,Li-NMC by Samsung SDI,3686.4 (constant at 1C),3686.4,no,yes,02/21
TESVOLT GmbH,worldwide,Storage system,TS HV 70 - 14 Module,Li-NMC by Samsung SDI,60,67.2,no,yes,02/21
TESVOLT GmbH,worldwide,Storage system,TS HV 70 - 640 Module,Li-NMC by Samsung SDI,3000,3072,no,yes,02/21
TESVOLT GmbH,worldwide,Storage system,TS HV 70 - 1280  Module,Li-NMC by Samsung SDI,6000,6144,no,yes,02/21
TESVOLT GmbH,worldwide,Storage system,TS HV 70 OUTDOOR - 14 Module,Li-NMC by Samsung SDI,60,67.2,no,yes,02/21
TESVOLT GmbH,worldwide,Storage system,TS HV 70 OUTDOOR - 42 Module,Li-NMC by Samsung SDI,180,201.6,no,yes,02/21
TESVOLT GmbH,worldwide,Storage system,TS HV 70 OUTDOOR - 64 Module,Li-NMC by Samsung SDI,300,307.2,no,yes,02/21
TESVOLT GmbH,worldwide,Storage system,TS-I HV 80 (1 bis 4 Leistungsmodule pro Speicher),Li-NMC by Samsung SDI,75 up to 300,"76,8 up to 307,2",no,yes,02/21
TESVOLT GmbH,worldwide,Storage system,TS-I HV 80 (1 bis 5 kaskadierte Speicher),Li-NMC by Samsung SDI,300 up to 1.500,"307,2 up to 1.500",no,yes,02/21
TESVOLT GmbH,worldwide,Storage system,TPS flex - 10 ft Container,Li-NMC by Samsung SDI,67 up to 134,72 up to 144,no,yes,02/21
TESVOLT GmbH,worldwide,Storage system,TPS flex - 20 ft Container,Li-NMC by Samsung SDI,75 up to 210,144 up to 288,no,yes,02/21
TESVOLT GmbH,worldwide,Storage system,TPS-E  - 20 ft Container,Li-NMC by Samsung SDI,flexible up to 1C,"up to  1,92 MWh",no,yes,02/21
TESVOLT GmbH,worldwide,Storage system,TPS-E  - 40 ft Container,Li-NMC by Samsung SDI,flexible up to 1C,"up to  3,45 MWh",no,yes,02/21
TESVOLT GmbH,worldwide,Storage system,TPS-E  - 45 ft Container,Li-NMC by Samsung SDI,flexible up to 1C,"up to  4,22 MWh",no,yes,02/21
Sustainable Solar Systems (Pty) Ltd.,,Storage projects,Sustain Compact,Lithium-Ion,18 kWh - 180 kWh  (SMA configuration),3.7 - 1036,yes,yes,02/21
Sungrow,"GER, ESP, ITA, FRA, USA, …",Storage system,ST68KWH-50HV,Li-NMC,50,68,no,no,02/21
Sungrow,"GER, ESP, ITA, FRA, USA, …",Storage system,ST2740KWH-2500HV-MV,Li-NMC,2500,2740,no,yes,02/21
Sungrow,"GER, ESP, ITA, FRA, USA, …",Storage system,SC50HV,,50,,no,no,02/21
STABL Energy GmbH,"GER, Switzerland, Austria, Netherlands, more in planning",Inverter,Modulare Multilevel Wechselrichter für Gewerbe- und Industriespeicher,"Lithium ions, second-use","> 67,5",> 30,yes,yes,02/21
SOLARWATT GmbH,"GER, FRA, NLD, ITA, ESP, AUS, UK, IRL, CHE, AUT, CZE, DNK, SCAN",Storage system,MyReserve,Lithium ions,"0,9 up to 27","2,4 up to 72",no,yes,02/21
Solar MD,"Africa, USA, Europe, India",Storage system,Solar MD Lithium Ion Storage - Wall mount  & Cabinet Solutions. Solar MD Mini Grid container solutions,Lithium- Ion,Unlimited,Unlimited,yes,no,02/21
Solar MD,"Africa, USA, Europe, India",Storage system,"SS4037
3.7kWh usable capacity",,,,no,yes,02/21
Solar MD,"Africa, USA, Europe, India",Storage system,"SS4074
7.4kWh usable capacity",,,,no,yes,02/21
Solar MD,"Africa, USA, Europe, India",Storage projects,Containerized solution 103.6 kWh to 1.15 MWh,,,,no,no,02/21
solar MD,"Africa, USA, Europe, India",Storage projects,Industrial & Utility scale High Voltage SS8008,,,,no,no,02/21
Socomec,Europe,Inverter,SUNSYS PCS²,NA,30 - 200,,no,no,02/21
Socomec,Europe,Storage system,SUNSYS STD,Lithium-ion,33 - 400,92 - 730,no,yes,02/21
Socomec,Europe,Storage system,SUNSYS MOBILE,Lithium-ion,200,330,nein,yes,02/21
smart1 solutions GmbH,EU,Storage projects / Components,smart1 EMS-Controller,,,Batteriekapazität von 5 bis 1000 kwh,no,no,02/21
smart1 solutions GmbH,EU,Storage projects / Components,smart1 Battery-Box,,,Batteriekapazität von 5 bis 1000 kwh,no,no,02/21
smart1 solutions GmbH,EU,Storage projects / Components,smart1 EASY Battery,,,Batteriekapazität von 5 bis 1000 kwh,no,no,02/21
Smart Power GmbH,Projects in the EU,Storage system,Smart Power Cube,Lithium ions,up to 200,81-243,yes,yes,02/21
Smart Power GmbH,Projects in the EU,Storage system,Industrial storage SPS2 250-250,Lithium ions,up to 500,up to 250,yes,no,02/21
Smart Power GmbH,Projects in the EU,Storage system,Industrial storage SPS2 1000-1000,Lithium ions,up to 2000,up to 1000,yes,yes,02/21
Smart Power GmbH,Projects in the EU,Storage projects,Large storage SPS2 individual,Lithium ions,up to 2C,50000,yes,yes,02/21
Smart Power GmbH,Projects in the EU,Storage projects,Second Use System,Litium-ions - 2nd Use,up to 1C,20000,yes,yes,02/21
Smart Power GmbH,Projects in the EU,Storage projects,Second Use hybrid system,Litium-ions - 2nd Use + new,up to 1C,20000,yes,no,02/21
SMA Solar Technology AG,worldwide,Inverter,"Sunny Central Storage 1900 - 2900, SCS 3450UP - 3950UP, SCS 3450UP-XT - 3950UP-XT, SCS 2300UP-XT - 2630UP-XT",All electrical storage technologies depending on the DC voltage working area,1900 - 4600,,no,no,02/21
Rolls-Royce Solutions Berlin GmbH,worldwide,Storage system,mtu EnergyPack QL,NMC,,,no,yes,02/21
Rolls-Royce Solutions Berlin GmbH,worldwide,Storage system,mtu EnergyPack QM,NMC,,,no,yes,02/21
Rolls-Royce Solutions Berlin GmbH,worldwide,Storage system,mtu EnergyPack QS,NMC,,,no,yes,02/21
REFU Elektronik GmbH,Fokus EUROPE,Inverter,REFUstore 88K,"wide range of all battery technologies, also 2nd life",0 - 88,,no,yes,02/21
REFU Elektronik GmbH,Fokus EUROPE,Inverter,REFUstore 88K-preCharge,"wide range of all battery technologies, also 2nd life",0 - 88,,no,yes,02/21
REFU Elektronik GmbH,Fokus EUROPE,Inverter,REFUstore 50K,"wide range of all battery technologies, also 2nd life",0 - 50,,no,yes,02/21
REFU Elektronik GmbH,Fokus EUROPE,Inverter,REFUstore 50K-preCharge,"wide range of all battery technologies, also 2nd life",0 - 50,,no,no,02/21
RCT Power GmbH,EU,Storage system,Power Storage DC Hybridinverter mit Power Battery,LiFePO4,6 - 30,"11,5 - 57,5",no,no,02/21
RCT Power GmbH,EU,Storage system,Power Storage AC Hybridinverter mit Power Battery,LiFePO4,6 - 30,"11,5 - 57,5",no,no,02/21
Primus Power,Worldwide,Storage system,EnergyPod,Zinc bromine flow battery,25,125,yes,yes,02/21
neoom group gmbh,D-A-CH/Europe,Storage projects,BLOKK,LFP,50-1200,104-3000,yes,yes,02/21
neoom group gmbh,D-A-CH/Europe,Storage projects,BLOKK Light,LFP,30,62,yes,yes,02/21
KW Projekt und Handel GmbH / Azzurro ZCS,EU,Storage system,Weco 5k3,Lithium ions,0 - to the limit of the inverter,24 - 132kWh,no,no,02/21
KW Projekt und Handel GmbH / Azzurro ZCS,EU,Storage system,Pylontech H48050,Lithium ions,0 - to the limit of the inverter,9.8 - 57.6kWh,no,no,02/21
KW Projekt und Handel GmbH / Azzurro ZCS,EU,Inverter,HYD10-20kW,connected to Litihium ion batteries,0 - 20kW,9.8 - 132kWh,no,no,02/21
KW Projekt und Handel GmbH / Azzurro ZCS,EU,Inverter,HYD5-8kW,connected to Litihium ion batteries,0 - 8kW,9.8 - 66kWh,no,no,02/21
KACO new energy GmbH,EU,Inverter,blueplanet gridsave 50.0 TL3-S variant B,,50 - 0,,no,no,02/21
KACO new energy GmbH,EU,Inverter,blueplanet gridsave 50.0 TL3-S variant M,,50 - 0,,no,no,02/21
KACO new energy GmbH,EU,Inverter,blueplanet gridsave 50.0 TL3-S variant L,,50 - 0,,no,no,02/21
KACO new energy GmbH,EU,Inverter,blueplanet gridsave 50.0 TL3-S variant XL,,50 - 0,,no,no,02/21
KACO new energy GmbH,"EU, US",Inverter,blueplanet gridsave 92.0 TL3-S variant B,,92 - 0,,no,no,02/21
KACO new energy GmbH,"EU, US",Inverter,blueplanet gridsave 92.0 TL3-S variant L,,92 - 0,,no,no,02/21
KACO new energy GmbH,"EU, US",Inverter,blueplanet gridsave 92.0 TL3-S variant XL,,92 - 0,,no,no,02/21
Jinko Power,Worldwide,Storage projects,,,,,no,no,02/21
JenaBatteries GmbH,Europe,Storage system,BASIS - Metal-free redox flow battery; organic redox flow battery,Metal-free redox flow; organic redox flow,ab 100,ab 400,yes,yes,02/21
IBC SOLAR AG,GER,Storage system,SMA SI - BYD B-Box LVL,LiPo,"9,9 - 180",30 - 690,no,no,02/21
IBC SOLAR AG,GER,Storage system,SMA Commercial TS70,Lithium-NMC prismatic,60-75,67 - 3040,no,no,02/21
IBC SOLAR AG,GER,Storage system,BYD REFU 88k C130,"Lithium ions, LFP",88,131,no,no,02/21
IBC SOLAR AG,GER,Storage system,BYD REFU 88k C230,"Lithium ions, LFP",88,233,no,no,02/21
IBC SOLAR AG,GER,Storage system,Victron - BYD,LiPo,10-200,30-500,no,no,02/21
IBC SOLAR AG,GER,Storage system,"INTILION scalebloc 25 ""energy""",Lithium-ions NMC,25,"68,5",no,no,02/21
IBC SOLAR AG,GER,Storage system,"INTILION scalebloc 50 ""power""",Lithium-ions NMC,50,"68,5",no,no,02/21
IBC SOLAR AG,GER,Storage system,"INTILION scalebloc 68,5 ""power boos""",Lithium-ions NMC,68.5,"68,5",no,no,02/21
IBC SOLAR AG,worldwide without USA,Storage projects,project-specific,"Lithium ions, lead gel",30 - 1000,30 - 1500,no,yes,02/21
Hitachi ABB Power Grids - Power Quality Products,worldwide,Inverter,PQStorI (battery inverter),freely selectable,30 - 1.600,freely selectable,no,yes,02/21
Hitachi ABB Power Grids - Power Quality Products,worldwide,Storage system,PQpluS,Lithium ions,30 - 1.600,64 - 1.600,no,yes,02/21
Hitachi ABB Power Grids - Grid Edge Solutions,worldwide,Storage projects,PowerStoreTM Modular,"Lithium ions, others on request",> 1 MW freely selectable,freely selectable,no,yes,02/21
Hitachi ABB Power Grids - Grid Edge Solutions,worldwide,Storage projects,PowerStoreTM Integrated,Lithium ions,125 - 500,280 - 812,no,yes,02/21
Gustav Klein GmbH & Co. KG,worldwide,Inverter,AIC 3890 (battery inverter),,500,,no,yes,02/21
Fluence Energy GmbH,worldwide,Storage system,Gridstack,,>2MW,>2MWh,no,no,02/21
FENECON GmbH,EU,Storage system,FENECON Commercial 30-Series,Lithium iron phosphate,30 - 90,"31,5-357",yes,no,02/21
FENECON GmbH,EU,Storage system,FENECON Commercial 50-Series,Lithium iron phosphate,50 - 250,70-1400,yes,no,02/21
FENECON GmbH,EU,Storage system,BYD Commercial,Lithium iron phosphate,88 - 528,131-1398,yes,no,02/21
FENECON GmbH,EU,Storage system,FENECON Industrial REFU-BMW Series,Nickel-Manganese-Cobalt,88 - 704,82-3936,yes,no,02/21
FENECON GmbH,EU,Storage system,FENECON Industrial KACO-BMW Series,Nickel-Manganese-Cobalt,92 - 368,74-592,yes,no,02/21
ET SolarPowerGmbH,,Storage system,ET EnergieS 40,LFP,9,41,yes,no,02/21
ET SolarPowerGmbH,,Storage system,ET EnergieS 60,LFP,12,62,yes,no,02/21
ET SolarPowerGmbH,,Storage system,ET EnergieS 80,LFP,18,82,yes,no,02/21
ET SolarPowerGmbH,,Storage system,ET EnergieS 120,LFP,20,124,yes,no,02/21
ESS Inc,"USA, AUS, India, Latin America, Europe",Storage system,Energy Warehouse,Iron-based redox flow battery,33-100 kW,0-400 kWh,no,yes,02/21
Enerox GmbH (CellCube),worldwide,Storage system,CellCube FB250-1000,Vanadium Redox Flow,0 - 500,1000,yes,yes,02/21
Enerox GmbH (CellCube),worldwide,Storage system,CellCube FB500-2000,Vanadium Redox Flow,0 - 1000,2000,yes,yes,02/21
Enerox GmbH (CellCube),worldwide,Storage system,CellCube FB250-1500,Vanadium Redox Flow,0 - 500,1500,yes,yes,02/21
Enerox GmbH (CellCube),worldwide,Storage system,CellCube FB250-2000,Vanadium Redox Flow,0 - 350,2000,yes,yes,02/21
Energy Project Solutions GmbH,"Germany, Denmark, Norway, Netherlands",Speicherprojekt,Energy Project,Lithium ions,from 30 - 10.000,from 30 - 10.000,no,yes,02/21
EnBW Energie Baden-Württemberg AG,Germany,Speicherprojekt,Battery system solutions,,,,no,no,02/21
ECOLYTE in formation,,Components,electrolyte from vanillin,Redox-Flow-Batterien,10 – 40,10 – 5000,no,no,02/21
ecocoach AG,"Switzerland, Germany, Austria",Storage system,ecoBatterySystem T 26kWh,NMC,13,26-260,no,yes,02/21
ecocoach AG,"Switzerland, Germany, Austria",Storage system,ecoBatterySystem T 39kWh,NMC,19.5,39-260,no,yes,02/21
ecocoach AG,"Switzerland, Germany, Austria",Storage system,ecoBatterySystem T 52kWh,NMC,24,52-260,no,yes,02/21
ecocoach AG,"Switzerland, Germany, Austria",Storage system,ecoBatterySystem T 65kWh,NMC,24,65-260,no,yes,02/21
ecocoach AG,"Switzerland, Germany, Austria",Storage system,ecoBatterySystem T 130kWh,NMC,48,130-260,no,yes,02/21
ecocoach AG,"Switzerland, Germany, Austria",Storage system,ecoBatterySystem T 195kWh,NMC,72,195-260,no,yes,02/21
ecocoach AG,"Switzerland, Germany, Austria",Storage system,ecoBatterySystem T 260kWh,NMC,96,260,no,yes,02/21
ecocoach AG,Switzerland,Storage system,ecoBatterySystem S 26kWh,NMC,13,26-130,no,yes,02/21
ecocoach AG,Switzerland,Storage system,ecoBatterySystem S 39kWh,NMC,19.5,39-130,no,yes,02/21
ecocoach AG,Switzerland,Storage system,ecoBatterySystem S 52kWh,NMC,24,52-130,no,yes,02/21
ecocoach AG,Switzerland,Storage system,ecoBatterySystem S 65kWh,NMC,24,65-130,no,yes,02/21
ecocoach AG,Switzerland,Storage system,ecoBatterySystem S 130kWh,NMC,48,130,no,yes,02/21
Eaton,"EMEA, US , LATAM, APAC",Storage system,xStorage Compact 20/50,"Li-ion (NMC), 2nd life Li-ion (LMO)",0 - 20,50 - 150,no,yes,02/21
Eaton,"EMEA, US , LATAM, APAC",Storage system,xStorage Compact 40/50,"Li-ion (NMC), 2nd life Li-ion (LMO)",0 - 40,50 - 150,no,yes,02/21
Eaton,"EMEA, US , LATAM, APAC",Storage system,xStorage Compact 40/100,"Li-ion (NMC), 2nd life Li-ion (LMO)",0 - 40,50 - 150,no,yes,02/21
Eaton,"EMEA, US , LATAM, APAC",Storage system,xStorage Compact 40/150,"Li-ion (NMC), 2nd life Li-ion (LMO)",0 - 40,50 - 150,no,yes,02/21
E3/DC GmbH,"GER, AT, CH",Storage system,Hauskraftwerk S10 E PRO,Lithium ions,12,"32,5 -39",no,yes,02/21
E3/DC GmbH,"GER, AT, CH",Storage system,Quattroporte 2x MAX XXL,Lithium ions,9,52,no,no,02/21
E3/DC GmbH,"GER, AT, CH",Storage system,Quattroporte 3x MAX XXL,Lithium ions,13.5,78,no,no,02/21
Commeo GmbH,"EU, USA, IND",Storage system,Commeo Longlife,Lithium ions,0 kW up to 160 kW per rack,"4,45 kWh up to 66,8 kWh per rack",no,no,02/21
Commeo GmbH,"EU, USA, IND",Storage system,Commeo Energy,Lithium ions,0 kW up to 110 kW per rack,"7,1 kWh up to 106,5 kWh per rack",no,no,02/21
Commeo GmbH,"EU, USA, IND",Storage system,Commeo Power,Lithium ions,0 kW up to 153 kW per rack,"1,1 kWh up to 52,8 kWh per rack",no,no,02/21
Commeo GmbH,"EU, USA, IND",Storage system,Commeo 48 V,Lithium ions,0 kW up to 10 kW per rack,"1,41 kWh up to 67,7 kWh per rack",no,no,02/21
CMBlu Energy AG,"Europe, USA, other",Storage system,Stationary large-scale storage,Organic Redox Flow,200 kW - 100 MW,50 kWh - 400 MWh,no,yes,02/21
BYD,"EU, AUS, USA, ZAF",Storage system,Premium LVS,Lithium-Ion LiFePO battery including BMS,"3,3 - 12,8",4 - 256,no,no,02/21
BYD,"EU, AUS, USA, ZAF",Storage system,Premium LVL,Lithium-Ion LiFePO battery including BMS,"12,8 - 819","15,4 - 983",no,no,02/21
BYD,"EU, AUS, USA, ZAF",Storage system,Premium HVS,Lithium-Ion LiFePO battery including BMS,"5,1 - 25,6","5,1 - 38,4",no,no,02/21
BYD,"EU, AUS, USA, ZAF",Storage system,Premium HVM,Lithium-Ion LiFePO battery including BMS,"7,65 - 20,45","8,28 - 66,24",no,no,02/21
BYD,"EU, AUS, USA, ZAF",Storage system,Battery Box Commercial,Lithium-Ion LiFePO battery including BMS,"109 - 194,4",131 - 233,no,no,02/21
BMZ,worldwide,Storage system,ESS 7.0 Multicluster,Lithium ions,up to24,7 to 80,no,no,02/21
BMZ,worldwide,Storage system,ESS 9.0 Multicluster,Lithium ions,up to 25,"8,5 - 102",no,no,02/21
BMZ,worldwide,Storage system,ESS X Multicluster,Lithium ions,up to 26,10 - 120,no,no,02/21
BlueSky Energy GmbH,worldwide,Storage system,GREENROCK Business,Saltwater battery (aqueous sodium ion battery),"7,2 - 72",30 - 270,yes,yes,02/21
BlueSky Energy GmbH,worldwide,Storage system,Vigos - der Outdoor Stromspeicher,LTO,24 - 48,18 - 96,yes,yes,02/21
BECK Automation GmbH,,Storage system,BECK BESS electrified by BMW i.,Lithium ions,"depending on the version  max. 8, 18 oder 27","depending on the version  22, 33 oder 42",no,no,02/21
BECK Automation GmbH,,Storage system,BECK BESS electrified by BMW i.,Lithium ions,depending on the version  max. 40 oder 60,depending on the version  33 - 84,no,no,02/21
BECK Automation GmbH,,Storage system,BECK BESS electrified by BMW i.,Lithium ions,"depending on the version  max. 80, 100 oder 120",depending on the version  84 - 168,no,no,02/21
BECK Automation GmbH,,Storage system,BECK BESS electrified by BMW i.,Lithium ions,"depending on the version  max. 240, 480 oder 720",depending on the version  336 - 1500,no,no,02/21
BayWa r.e. Solar Energy Systems GmbH,"Europa, Asien, USA, Mexiko",Storage system,BYD Commercial C 130,Lithium ions,up to 88 kW,131 kWh,no,no,02/21
BayWa r.e. Solar Energy Systems GmbH,,Storage system,BYD Commercial C 230,Lithium ions,up to 88 kW,232 kWh,no,no,02/21
BayWa r.e. Solar Energy Systems GmbH,,Storage system,Intilion Scale-Bloc,Lithium ions,"from 25 to 68,5 kW","68,5 kWh",no,yes,02/21
BayWa r.e. Solar Energy Systems GmbH,,Storage system,Riello SPS HE USV-Speicher,Lithium ions,from100 to 800 kW,102 kWh skalierbar,yes,no,02/21
BayWa r.e. Solar Energy Systems GmbH,"POL, Skandinavien, AUT, CHE, Benelux…",Storage system,RIELLO SPS-HE 100 bis 800,"Lithium ions, lead optional","RIELLO SPS-HE 100 = 100 kW
RIELLO SPS-HE 800 = 800 kW","RIELLO SPS-HE 100 = from25 kWh to X x 25 kWh
RIELLO SPS-HE 800 = from200 kWh to X x 25 kWh",no,yes,02/21
BayWa r.e. Solar Energy Systems GmbH,"POL, Skandinavien, AUT, CHE, Benelux…",Storage system,VARTA  Flex Storage E  36 / 75,Lithium ions,to 36,from 75 kWh to X x 75 kWh,no,no,02/21
BayWa r.e. Solar Energy Systems GmbH,"POL, Skandinavien, AUT, CHE, Benelux…",Storage system,VARTA  Flex Storage E  80 /150,Lithium ions,to 80,from 150 kWh to X x 75 kWh,no,no,02/21
BayWa r.e. Solar Energy Systems GmbH,"POL, Skandinavien, AUT, CHE, Benelux…",Storage system,VARTA Flex Storage E 120 /300,Lithium ions,to 120,from 300 kWh to X x 75 kWh,no,no,02/21
BayWa r.e. Solar Energy Systems GmbH,"POL, Skandinavien, AUT, CHE, Benelux…",Storage system,X x SMA Si 8.0 mit X x BYD LVL 15.4,"Lithium ions, lead optional",to 216,"from 13,8 kWh to X x 13,8 kWh",no,no,02/21
AXITEC Energy GmbH & Co. KG,worldwide,Storage system,AXIstorage Li 10S Multicluster,Lithium ions,bis 22,10 bis 120,no,no,02/21
Autarxia Infrastruktursysteme GmbH,"DEU, AUT",Storage system,"ereneo storage grid S30-3x7,2",Sodium ions,0-8kW,37.8,yes,yes,02/21
Autarxia Infrastruktursysteme GmbH,"DEU, AUT",Storage system,"ereneo storage grid S41-3x7,2",Sodium ions,"0 - 9,8kW",45.9,yes,yes,02/21
Autarxia Infrastruktursysteme GmbH,"DEU, AUT",Storage system,ereneo storage grid S48-3x12,Sodium ions,0 - 12kW,59.4,yes,yes,02/21
Autarxia Infrastruktursysteme GmbH,"DEU, AUT",Storage system,ereneo storage grid S61-3x12,Sodium ions,0 - 12kW,75.6,yes,yes,02/21
Autarxia Infrastruktursysteme GmbH,"DEU, AUT",Storage system,ereneo storage grid S83-3x12,Sodium ions,0 - 12kW,91.8,yes,yes,02/21
Autarxia Infrastruktursysteme GmbH,"DEU, AUT",Storage system,ereneo storage grid S97-3x12,Sodium ions,0 - 12kW,108,yes,yes,02/21
AutarcTech GmbH,"D-A-CH, Chile, Marokko, Indien",Storage system,"LiRack storage, system design, individual adjustment",Lithium - Iron- Phosphate,"9,6 - 33,6","22,4 - 336",yes,yes,02/21
AutarcTech GmbH,D-A-CH,Storage system,"OutdoorLiRack 22.4, flexible outdoor system for power supply, optimized use of a diesel or gasoline unit",Lithium - Iron- Phosphate,"0-16,8",22.4,yes,yes,02/21
ASD Automatic Storage Device GmbH,EU,Storage projects,PACADU-Flex 30-16,Lithium - Iron- Phosphate,16,30,yes,no,02/21
ASD Automatic Storage Device GmbH,EU,Storage projects,PACADU-Flex 60-36,Lithium - Iron- Phosphate,36,60,yes,no,02/21
ASD Automatic Storage Device GmbH,EU,Storage projects,PACADU-Flex 120-36,Lithium - Iron- Phosphate,36,120,yes,no,02/21
ASD Automatic Storage Device GmbH,EU,Storage projects,PACADU-Flex 90-55,Lithium - Iron- Phosphate,55,90,yes,no,02/21
ASD Automatic Storage Device GmbH,EU,Storage projects,PACADU-Flex 180-55,Lithium - Iron- Phosphate,55,180,yes,no,02/21
ASD Automatic Storage Device GmbH,EU,Storage projects,PACADU-Flex 135-80,Lithium - Iron- Phosphate,80,135,yes,no,02/21
ASD Automatic Storage Device GmbH,EU,Storage projects,PACADU-Flex 270-80,Lithium - Iron- Phosphate,80,270,yes,no,02/21
ASD Automatic Storage Device GmbH,EU,Storage projects,PACADU-Flex 200-120,Lithium - Iron- Phosphate,120,200,yes,no,02/21
ASD Automatic Storage Device GmbH,EU,Storage projects,PACADU-Flex 400-120,Lithium - Iron- Phosphate,120,400,yes,no,02/21
ads-tec Energy GmbH,CH,Storage system,StoraXe SRS2019,Lithium ions,20,19,no,no,02/21
ads-tec Energy GmbH,CH,Storage system,StoraXe SRS2028,Lithium ions,20,28,no,no,02/21
ads-tec Energy GmbH,CH,Storage system,StoraXe SRS2047,Lithium ions,20,47,no,no,02/21
ads-tec Energy GmbH,EU,Storage system,StoraXe SRS0054,Lithium ions,Depending on the inverter,54,no,no,02/21
ads-tec Energy GmbH,EU,Storage system,StoraXe SRS0075,Lithium ions,Depending on the inverter,75,no,no,02/21
ads-tec Energy GmbH,EU,Storage system,StoraXe SRS0112,Lithium ions,Depending on the inverter,112,no,no,02/21
ads-tec Energy GmbH,EU,Storage system,StoraXe PowerBooster GSS1212,Lithium ions,100,120,no,no,02/21
ads-tec Energy GmbH,EU,Storage system,StoraXe PowerBooster GSS2824,Lithium ions,280,240,no,no,02/21
ads-tec Energy GmbH,"EU, USA",Storage system,StoraXe HPC,Lithium ions,320,140,no,no,02/21
ABO Wind AG,"GER, Netherlands, UK, Ireland, FRA, Spain, Tunisia, GRE, Hungary, POL, FIN, Tanzania, COL, Canada, Argentina, ZAF",Storage projects,Battery storage systems and renewable energy projects from planning to construction,"Primarily lithium-ion (NMC, LFP)
For special applications: redox flow, lead-acid, sodium-sulfur",500 - 50000,500 - 50000,no,yes,02/21
Relectrify Pty Ltd,"EMEA, US, APAC",Storage system,ReVolve,2nd life Li-ion,36 - 720,"144 - 2,880",no,yes,04/21
