"BIO_ANALYTICAL_METHOD_CODE","BIO_ANALYTICAL_METHOD_NAME","BIO_ANALYTICAL_METHOD_DESC","BIO_ANALYTICAL_PARAMETER_NAME","BIO_ANALY_METHOD_CATEGORY_CODE","BIO_ANALY_METHOD_CATEGORY_DESC"
"A12","Kenner and Clark Method - Salmonella","Kenner and Clark Method - Salmonella, ?Detection and Enumeration of Salmonella and Pseudomonas aeruginosa,? J. Water Pollution Control Federation, 46(9):2163-2171, 1974","Salmonella sp. Bacteria","PAT","Pathogens"
"A13","Other Salmonella sp. Bacteria Analytical Method","See Other Method Description field for additional information.","Salmonella sp. Bacteria","PAT","Pathogens"
"A14","Standard Method 2710 - SOUR","Standard Method 2710 - Specific Oxygen Uptake Rate, ""Standard Methods for the Examination of Water and Wastewater,"" American Public Health Association","Specific Oxygen Uptake Rate","OTH","Other Analytes"
"A15","Other Specific Oxygen Uptake Rate Analytical Method","See Other Method Description field for additional information.","Specific Oxygen Uptake Rate","OTH","Other Analytes"
"A16","EPA Method 9095 - Paint Filter Liquids Test","EPA Method 9095 - Paint Filter Liquids Test, ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Paint Filter Test","OTH","Other Analytes"
"A17","Other Paint Filter Test Analytical Method","See Other Method Description field for additional information.","Paint Filter Test","OTH","Other Analytes"
"A20","Standard Method 2540 - Total Solids","Standard Method 2540 - Total, fixed, and volatile solids, ""Standard Methods for the Examination of Water and Wastewater,"" American Public Health Association","Total Solids","OTH","Other Analytes"
"A22","Other Total Solids Analytical Method","See Other Method Description field for additional information.","Total Solids","OTH","Other Analytes"
"A23","Standard Method 2540 - Fixed Solids","Standard Method 2540 - Total, fixed, and volatile solids, ""Standard Methods for the Examination of Water and Wastewater,"" American Public Health Association","Fixed Solids","OTH","Other Analytes"
"A24","Other Fixed Solids Analytical Method","See Other Method Description field for additional information.","Fixed Solids","OTH","Other Analytes"
"A25","Standard Method 2540 - Volatile Solids","Standard Method 2540 - Total, fixed, and volatile solids, ""Standard Methods for the Examination of Water and Wastewater,"" American Public Health Association","Volatile Solids","OTH","Other Analytes"
"A26","Other Volatile Solids Analytical Method","See Other Method Description field for additional information.","Volatile Solids","OTH","Other Analytes"
"A27","EPA Method 6010 - Arsenic (ICP-OES)","EPA Method 6010 - Arsenic (Inductively Coupled Plasma - Optical Emission Spectrometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Arsenic","MET","Metals"
"A28","EPA Method 6020 - Arsenic (ICP-MS)","EPA Method 6020 - Arsenic (Inductively Coupled Plasma - Mass Spectrometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Arsenic","MET","Metals"
"A29","EPA Method 7010 - Arsenic (GF-AAS)","EPA Method 7010 - Arsenic (Graphite Furnace Atomic Absorption Spectrophotometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Arsenic","MET","Metals"
"A30","Other Arsenic Analytical Method","See Other Method Description field for additional information.","Arsenic","MET","Metals"
"A31","EPA Method 6010 - Cadmium (ICP-OES)","EPA Method 6010 - Cadmium (Inductively Coupled Plasma - Optical Emission Spectrometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Cadmium","MET","Metals"
"A32","EPA Method 6020 - Cadmium (ICP-MS)","EPA Method 6020 - Cadmium (Inductively Coupled Plasma - Mass Spectrometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Cadmium","MET","Metals"
"A33","EPA Method 7000 - Cadmium (FAAS)","EPA Method 7000 - Cadmium (Flame Atomic Absorption Spectrophotometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Cadmium","MET","Metals"
"A34","EPA Method 7010 - Cadmium (GF-AAS)","EPA Method 7010 - Cadmium (Graphite Furnace Atomic Absorption Spectrophotometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Cadmium","MET","Metals"
"A35","Other Cadmium Analytical Method","See Other Method Description field for additional information.","Cadmium","MET","Metals"
"A36","EPA Method 6010 - Chromium (ICP-OES)","EPA Method 6010 - Chromium (Inductively Coupled Plasma - Optical Emission Spectrometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Chromium","MET","Metals"
"A37","EPA Method 6020 - Chromium (ICP-MS)","EPA Method 6020 - Chromium (Inductively Coupled Plasma - Mass Spectrometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Chromium","MET","Metals"
"A38","EPA Method 7000 - Chromium (FAAS)","EPA Method 7000 - Chromium (Flame Atomic Absorption Spectrophotometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Chromium","MET","Metals"
"A39","EPA Method 7010 - Chromium (GF-AAS)","EPA Method 7010 - Chromium (Graphite Furnace Atomic Absorption Spectrophotometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Chromium","MET","Metals"
"A40","Other Chromium Analytical Method","See Other Method Description field for additional information.","Chromium","MET","Metals"
"A41","EPA Method 6010 - Copper (ICP-OES)","EPA Method 6010 - Copper (Inductively Coupled Plasma - Optical Emission Spectrometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Copper","MET","Metals"
"A42","EPA Method 6020 - Copper (ICP-MS)","EPA Method 6020 - Copper (Inductively Coupled Plasma - Mass Spectrometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Copper","MET","Metals"
"A43","EPA Method 7000 - Copper (FAAS)","EPA Method 7000 - Copper (Flame Atomic Absorption Spectrophotometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Copper","MET","Metals"
"A44","Other Copper Analytical Method","See Other Method Description field for additional information.","Copper","MET","Metals"
"A45","EPA Method 6010 - Lead (ICP-OES)","EPA Method 6010 - Lead (Inductively Coupled Plasma - Optical Emission Spectrometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Lead","MET","Metals"
"A46","EPA Method 6020 - Lead (ICP-MS)","EPA Method 6020 - Lead (Inductively Coupled Plasma - Mass Spectrometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Lead","MET","Metals"
"A47","EPA Method 7000 - Lead (FAAS)","EPA Method 7000 - Lead (Flame Atomic Absorption Spectrophotometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Lead","MET","Metals"
"A48","EPA Method 7010 - Lead (GF-AAS)","EPA Method 7010 - Lead (Graphite Furnace Atomic Absorption Spectrophotometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Lead","MET","Metals"
"A49","Other Lead Analytical Method","See Other Method Description field for additional information.","Lead","MET","Metals"
"A50","EPA Method 7471 - Mercury (CVAA)","EPA Method 7471 - Mercury in Solid or Semi-Solid Waste (Cold Vapor Atomic Absoprtion), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Mercury","MET","Metals"
"A52","Other Mercury Analytical Method","See Other Method Description field for additional information.","Mercury","MET","Metals"
"A53","EPA Method 6010 - Molybdenum (ICP-OES)","EPA Method 6010 - Molybdenum (Inductively Coupled Plasma - Optical Emission Spectrometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Molybdenum","MET","Metals"
"A54","EPA Method 6020 - Molybdenum (ICP-MS)","EPA Method 6020 - Molybdenum (Inductively Coupled Plasma - Mass Spectrometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Molybdenum","MET","Metals"
"A55","EPA Method 7000 - Molybdenum (FAAS)","EPA Method 7000 - Molybdenum (Flame Atomic Absorption Spectrophotometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Molybdenum","MET","Metals"
"A56","EPA Method 7010 - Molybdenum (GF-AAS)","EPA Method 7010 - Molybdenum (Graphite Furnace Atomic Absorption Spectrophotometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Molybdenum","MET","Metals"
"A57","Other Molybdenum Analytical Method","See Other Method Description field for additional information.","Molybdenum","MET","Metals"
"A58","EPA Method 6010 - Nickel (ICP-OES)","EPA Method 6010 - Nickel (Inductively Coupled Plasma - Optical Emission Spectrometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Nickel","MET","Metals"
"A59","EPA Method 6020 - Nickel (ICP-MS)","EPA Method 6020 - Nickel (Inductively Coupled Plasma - Mass Spectrometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Nickel","MET","Metals"
"A60","EPA Method 7000 - Nickel (FAAS)","EPA Method 7000 - Nickel (Flame Atomic Absorption Spectrophotometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Nickel","MET","Metals"
"A61","Other Nickel Analytical Method ","See Other Method Description field for additional information.","Nickel","MET","Metals"
"A62","EPA Method 6010 - Selenium (ICP-OES)","EPA Method 6010 - Selenium (Inductively Coupled Plasma - Optical Emission Spectrometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Selenium","MET","Metals"
"A63","EPA Method 6020 - Selenium (ICP-MS)","EPA Method 6020 - Selenium (Inductively Coupled Plasma - Mass Spectrometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Selenium","MET","Metals"
"A64","EPA Method 7010 - Selenium (GF-AAS)","EPA Method 7010 - Selenium (Graphite Furnace Atomic Absorption Spectrophotometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Selenium","MET","Metals"
"A65","EPA Method 7740 - Selenium (AA-FT)","EPA Method 7741A - Selenium (Atomic Absorption - Furnace Technique), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Selenium","MET","Metals"
"A66","Other Selenium Analytical Method","See Other Method Description field for additional information.","Selenium","MET","Metals"
"A67","EPA Method 6010 - Zinc (ICP-OES)","EPA Method 6010 - Zinc (Inductively Coupled Plasma - Optical Emission Spectrometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Zinc","MET","Metals"
"A68","EPA Method 6020 - Zinc (ICP-MS)","EPA Method 6020 - Zinc (Inductively Coupled Plasma - Mass Spectrometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Zinc","MET","Metals"
"A69","EPA Method 7000 - Zinc (FAAS)","EPA Method 7000 - Zinc (Flame Atomic Absorption Spectrophotometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Zinc","MET","Metals"
"A70","Other Zinc Analytical Method","See Other Method Description field for additional information.","Zinc","MET","Metals"
"A71","Class A Sludge Monitoring - Total Culturable Viruses","EPA Class A Sludge Monitoring - Total Culturable Viruses, ""Method for the Recovery and Assay of Total Culturable Viruses from Sludge (Appendix H),"" Control of Pathogens and Vector Attraction in Sewage Sludge, EPA-625-R-92-013, July 2003","Total Culturable Viruses","PAT","Pathogens"
"A72","Other Total Culturable Viruses Analytical Method","See Other Method Description field for additional information.","Total Culturable Viruses","PAT","Pathogens"
"A73","Sludge Monitoring - Ascaris ova.","Sludge Monitoring - Ascaris ova., ""Method for the Recovery and Assay of Total Culturable Viruses from Sludge (Appendix I),"" Control of Pathogens and Vector Attraction in Sewage Sludge"", EPA-625-R-92-013, July 2003","Ascaris ova.","PAT","Pathogens"
"A74","Other Ascaris ova. Analytical Method","See Other Method Description field for additional information.","Ascaris ova.","PAT","Pathogens"
"A75","EPA Method 351.2 - Total Kjeldahl Nitrogen","EPA Method 351.2 - Total Kjeldahl Nitrogen, ""Determination of Total Kjeldahl Nitrogen by Semi-Automated Colorimetry,"" August 1993","Total Kjeldahl Nitrogen","NIT","Nitrogen Compounds"
"A76","Other Total Kjeldahl Nitrogen Analytical Method","See Other Method Description field for additional information.","Total Kjeldahl Nitrogen","NIT","Nitrogen Compounds"
"A77","Standard Method 4500-N - Nitrogen","Standard Method 4500-N - Nitrogen, ""Standard Methods for the Examination of Water and Wastewater,"" American Public Health Association","Nitrogen","NIT","Nitrogen Compounds"
"A78","Other Nitrogen Analytical Method","See Other Method Description field for additional information.","Nitrogen","NIT","Nitrogen Compounds"
"A79","EPA Method 1311 - Toxicity Characteristic Leaching Procedure","EPA Method 1311 - Toxicity Characteristic Leaching Procedure, ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","TCLP","OTH","Other Analytes"
"A80","Other TCLP Analytical Method","See Other Method Description field for additional information.","TCLP","OTH","Other Analytes"
"A81","EPA Method 350.1 - Ammonia Nitrogen","EPA Method 350.1 - Ammonia Nitrogen, ""Determination of Ammonia Nitrogen by Semi-Automated Colorimetry,"" August 1993","Ammonia Nitrogen","NIT","Nitrogen Compounds"
"A82","Standard Method 4500-NH3 - Ammonia Nitrogen","Standard Method 4500-NH3 - Ammonia Nitrogen, ""Standard Methods for the Examination of Water and Wastewater,"" American Public Health Association","Ammonia Nitrogen","NIT","Nitrogen Compounds"
"A83","Other Ammonia Nitrogen Analytical Method","See Other Method Description field for additional information.","Ammonia Nitrogen","NIT","Nitrogen Compounds"
"A84","EPA Method 7061 - Arsenic (AA-GH)","EPA Method 7061 - Arsenic (Atomic Absorption - Gaseous Hydride), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Arsenic","MET","Metals"
"A85","EPA Method 6010 - Beryllium (ICP-OES)","EPA Method 6010 - Beryllium (Inductively Coupled Plasma - Optical Emission Spectrometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Beryllium","MET","Metals"
"A86","EPA Method 6020 - Beryllium (ICP-MS)","EPA Method 6020 - Beryllium (Inductively Coupled Plasma - Mass Spectrometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Beryllium","MET","Metals"
"A87","EPA Method 7000 - Beryllium (FAAS)","EPA Method 7000 - Beryllium (Flame Atomic Absorption Spectrophotometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Beryllium","MET","Metals"
"A88","EPA Method 7010 - Beryllium (GF-AAS)","EPA Method 7010 - Beryllium (Graphite Furnace Atomic Absorption Spectrophotometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Beryllium","MET","Metals"
"A89","Other Beryllium Analytical Method","See Other Method Description field for additional information.","Beryllium","MET","Metals"
"A90","EPA Method 7131 - Cadmium (GF-AAS)","EPA Method 7131 - Cadmium (Graphite Furnace Atomic Absorption Spectrophotometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Cadmium","MET","Metals"
"A91","EPA Method 7191 - Chromium (AA-FT)","EPA Method 7191 - Chromium (Atomic Absorption - Furnace Technique), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Chromium","MET","Metals"
"A92","EPA Method 7010 - Copper (GF-AAS)","EPA Method 7010 - Copper (Graphite Furnace Atomic Absorption Spectrophotometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Copper","MET","Metals"
"A93","EPA Method 7421 - Lead (AA-FT)","EPA Method 7421 - Lead (Atomic Absorption - Furnace Technique), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Lead","MET","Metals"
"A94","EPA Method 7481 - Molybdenum (AA-FT)","EPA Method 7481 - Molybdenum (Atomic Absorption - Furnace Technique), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Molybdenum","MET","Metals"
"A95","EPA Method 7010 - Nickel (GF-AAS)","EPA Method 7010 - Nickel (Graphite Furnace Atomic Absorption Spectrophotometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Nickel","MET","Metals"
"A96","EPA Method 9056 - Nitrate Nitrogen (IC)","EPA Method 9056 - Nitrate Nitrogen (Ion Chromatography), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Nitrate Nitrogen","NIT","Nitrogen Compounds"
"A97","EPA Method 9210 - Nitrate Nitrogen (ISE)","EPA Method 9210 - Nitrate Nitrogen (Ion-Selective Electrode), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Nitrate Nitrogen","NIT","Nitrogen Compounds"
"A98","Other Nitrate Nitrogen Analytical Method","See Other Method Description field for additional information.","Nitrate Nitrogen","NIT","Nitrogen Compounds"
"A99","Standard Method 4500-Norg - Organic Nitrogen","Standard Method 4500-Norg - Organic Nitrogen, ""Standard Methods for the Examination of Water and Wastewater,"" American Public Health Association","Organic Nitrogen","NIT","Nitrogen Compounds"
"AA1","EPA Method 9040 - pH (<= 7% solids)","EPA Method 9040 - pH (<= 7% solids), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","pH","OTH","Other Analytes"
"AA2","EPA Method 9045 - pH (> 7% solids)","EPA Method 9045 - pH (> 7% solids), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","pH","OTH","Other Analytes"
"AA3","Other pH Analytical Method","See Other Method Description field for additional information.","pH","OTH","Other Analytes"
"AA4","EPA Method 7741 - Selenium (AA-GH)","EPA Method 7741 - Selenium (Atomic Absorption - Gaseous Hydride), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Selenium","MET","Metals"
"AA5","Standard Method 2550 - Temperature","Standard Method 2550 - Temperature, ""Standard Methods for the Examination of Water and Wastewater,"" American Public Health Association","Temperature","OTH","Other Analytes"
"AA6","Other Temperature Analytical Method","See Other Method Description field for additional information.","Temperature","OTH","Other Analytes"
"AA7","EPA Method 7010 - Zinc (GF-AAS)","EPA Method 7010 - Zinc (Graphite Furnace Atomic Absorption Spectrophotometry), ""Test Methods for Evaluating Solid Waste, Physical/Chemical Methods,"" EPA Pub. SW-846","Zinc","MET","Metals"
"AAA","Other Organic Nitrogen Analytical Method","See Other Method Description field for additional information.","Organic Nitrogen","NIT","Nitrogen Compounds"
