date,avg_price_mwh,volume_mwh,high_price_mwh,low_price_mwh,hub,region
2005-01-01,57.00759086783891,705200,66.25,49.75,CAISO_Combined,CAISO
2005-02-01,53.47452442396313,607600,57.25,50.0,CAISO_Combined,CAISO
2005-03-01,57.10899088130413,785200,63.75,53.5,CAISO_Combined,CAISO
2005-04-01,59.27832520205731,544400,63.75,49.5,CAISO_Combined,CAISO
2005-05-01,51.73076666666666,802800,60.75,42.75,CAISO_Combined,CAISO
2005-06-01,55.25874954896907,1241600,72.0,40.0,CAISO_Combined,CAISO
2005-07-01,76.83482176485087,1622800,113.0,58.75,CAISO_Combined,CAISO
2005-08-01,84.11859982952608,2346400,103.0,73.0,CAISO_Combined,CAISO
2005-09-01,91.36330690069727,1663600,116.0,74.75,CAISO_Combined,CAISO
2005-10-01,101.10741517647058,1700000,120.0,88.25,CAISO_Combined,CAISO
2005-11-01,79.1290486458602,1550800,108.0,61.0,CAISO_Combined,CAISO
2005-12-01,110.51968420913653,1514800,142.0,60.0,CAISO_Combined,CAISO
2006-01-01,65.47663034100844,1372400,75.5,55.0,CAISO_Combined,CAISO
2006-02-01,58.20689970398746,2297200,65.0,49.55,CAISO_Combined,CAISO
2006-03-01,50.27682989230365,1522800,61.0,45.5,CAISO_Combined,CAISO
2006-04-01,54.12203763760786,1344400,66.0,42.0,CAISO_Combined,CAISO
2006-05-01,52.17774141066601,1627600,61.2,41.5,CAISO_Combined,CAISO
2006-06-01,59.458218526603,1466000,79.0,44.5,CAISO_Combined,CAISO
2006-07-01,83.64780206286837,1628800,400.0,53.75,CAISO_Combined,CAISO
2006-08-01,69.19607976503323,2587600,84.25,58.5,CAISO_Combined,CAISO
2006-09-01,50.546657999388195,2615200,71.0,38.0,CAISO_Combined,CAISO
2006-10-01,56.12313320150998,2225200,74.0,40.0,CAISO_Combined,CAISO
2006-11-01,65.53661434108527,2064000,84.0,52.5,CAISO_Combined,CAISO
2006-12-01,65.27831454783748,1526000,80.0,51.25,CAISO_Combined,CAISO
2007-01-01,60.372305647840534,2408000,75.5,48.5,CAISO_Combined,CAISO
2007-02-01,64.24546031746031,2268000,71.5,57.75,CAISO_Combined,CAISO
2007-03-01,54.943636773321316,2662800,71.0,46.5,CAISO_Combined,CAISO
2007-04-01,64.74906126687435,1926000,76.25,51.0,CAISO_Combined,CAISO
2007-05-01,72.40296625580926,1979600,89.75,57.25,CAISO_Combined,CAISO
2007-06-01,70.08531438551921,2519200,82.5,52.5,CAISO_Combined,CAISO
2007-07-01,79.87978523046424,2421200,334.0,57.75,CAISO_Combined,CAISO
2007-08-01,71.55700520144583,4537200,120.0,53.5,CAISO_Combined,CAISO
2007-09-01,57.17118878830843,3667600,64.25,44.5,CAISO_Combined,CAISO
2007-10-01,70.39484505363528,4698400,190.0,55.0,CAISO_Combined,CAISO
2007-11-01,64.22753653444677,4023600,78.85,46.0,CAISO_Combined,CAISO
2007-12-01,70.98515861674764,2799200,79.5,57.65,CAISO_Combined,CAISO
2008-01-01,77.3458738231793,3696400,90.0,63.0,CAISO_Combined,CAISO
2008-02-01,78.20551862034492,3200800,84.0,71.5,CAISO_Combined,CAISO
2008-03-01,84.14017232704403,3180000,106.0,69.5,CAISO_Combined,CAISO
2008-04-01,95.83577679052235,2971200,112.0,87.0,CAISO_Combined,CAISO
2008-05-01,90.78659574468085,3760000,121.35,69.0,CAISO_Combined,CAISO
2008-06-01,109.3515455499825,3429200,160.0,76.25,CAISO_Combined,CAISO
2008-07-01,106.28459477124183,3672000,170.0,83.0,CAISO_Combined,CAISO
2008-08-01,82.57583554376657,3317600,97.0,71.0,CAISO_Combined,CAISO
2008-09-01,67.22109927300075,3191200,80.0,59.75,CAISO_Combined,CAISO
2008-10-01,53.569300827224424,1858625,68.5,32.25,CAISO_Combined,CAISO
2008-11-01,54.764409842678496,2479000,65.5,23.25,CAISO_Combined,CAISO
2008-12-01,56.30903966597077,191600,57.75,53.25,CAISO_Combined,CAISO
2009-01-01,45.15115096038415,2665600,55.0,35.75,CAISO_Combined,CAISO
2009-02-01,36.95522866894198,2344000,47.5,27.75,CAISO_Combined,CAISO
2009-03-01,32.618206709793895,2658800,39.0,27.25,CAISO_Combined,CAISO
2009-04-01,28.63226004080159,1871200,37.75,24.5,CAISO_Combined,CAISO
2009-05-01,33.79453008576815,1860000,47.25,25.5,CAISO_Combined,CAISO
2009-06-01,29.335185057781977,2699600,40.5,20.75,CAISO_Combined,CAISO
2009-07-01,37.13553628536285,2498000,50.25,27.45,CAISO_Combined,CAISO
2009-08-01,36.228586861968466,2491600,43.25,30.9,CAISO_Combined,CAISO
2009-09-01,40.40638285733874,2008800,53.0,29.5,CAISO_Combined,CAISO
2009-10-01,48.43069268528193,2498400,61.75,32.25,CAISO_Combined,CAISO
2009-11-01,39.92713464128792,1696400,48.5,30.25,CAISO_Combined,CAISO
2009-12-01,54.19477214189249,1027600,89.0,43.0,CAISO_Combined,CAISO
2010-01-01,52.20033197526182,1975200,58.5,47.25,CAISO_Combined,CAISO
2010-02-01,48.015632219779775,1526800,52.25,43.0,CAISO_Combined,CAISO
2010-03-01,44.06152680612668,1465200,50.0,38.5,CAISO_Combined,CAISO
2010-04-01,37.852919219638125,1439200,44.5,32.0,CAISO_Combined,CAISO
2010-05-01,34.06360937076439,1097200,37.5,30.25,CAISO_Combined,CAISO
2010-06-01,34.98663042336379,1366800,45.0,28.25,CAISO_Combined,CAISO
2010-07-01,41.0762472207974,1507600,49.5,33.0,CAISO_Combined,CAISO
2010-08-01,39.73043917897128,1702000,56.0,32.0,CAISO_Combined,CAISO
2010-09-01,39.81018357875037,1494000,55.0,31.5,CAISO_Combined,CAISO
2010-10-01,36.80961614802858,1299200,46.15,33.25,CAISO_Combined,CAISO
2010-11-01,38.41842377656035,1171200,45.85,33.0,CAISO_Combined,CAISO
2010-12-01,37.922611391873104,803200,43.65,31.0,CAISO_Combined,CAISO
2011-01-01,38.27466230699669,1338000,43.0,33.55,CAISO_Combined,CAISO
2011-02-01,38.86420485485061,1501600,51.5,33.35,CAISO_Combined,CAISO
2011-03-01,32.37917703734755,1382800,36.5,28.5,CAISO_Combined,CAISO
2011-04-01,35.36676959668239,951600,43.0,27.0,CAISO_Combined,CAISO
2011-05-01,34.64308335786478,734000,46.5,27.5,CAISO_Combined,CAISO
2011-06-01,38.88959171537128,982400,51.0,25.5,CAISO_Combined,CAISO
2011-07-01,38.20097193877551,882000,57.0,21.5,CAISO_Combined,CAISO
2011-08-01,39.82342887520164,1005200,48.5,21.5,CAISO_Combined,CAISO
2011-09-01,41.001153865345415,1209600,54.25,35.25,CAISO_Combined,CAISO
2011-10-01,34.84951026514655,1236400,41.95,31.0,CAISO_Combined,CAISO
2011-11-01,36.307446778265025,1165200,41.7,29.0,CAISO_Combined,CAISO
2011-12-01,33.84782788290141,1087200,38.25,27.75,CAISO_Combined,CAISO
2012-01-01,29.260826648688592,1130400,32.25,26.5,CAISO_Combined,CAISO
2012-02-01,28.305124658110664,950800,32.5,25.75,CAISO_Combined,CAISO
2012-03-01,24.27787563986751,745600,27.0,21.0,CAISO_Combined,CAISO
2012-04-01,26.942446479209945,840800,35.0,22.0,CAISO_Combined,CAISO
2012-05-01,29.60804296800085,706400,37.75,22.0,CAISO_Combined,CAISO
2012-06-01,30.33088217984934,514400,40.0,23.5,CAISO_Combined,CAISO
2012-07-01,35.43597103508499,655600,48.0,26.25,CAISO_Combined,CAISO
2012-08-01,47.46779870608037,1184400,73.5,29.75,CAISO_Combined,CAISO
2012-09-01,40.63832198762712,959200,76.0,32.75,CAISO_Combined,CAISO
2012-10-01,43.91394489162771,939600,65.5,35.0,CAISO_Combined,CAISO
2012-11-01,39.49108033403905,711200,50.0,35.0,CAISO_Combined,CAISO
2012-12-01,38.75002768159507,578400,44.25,32.0,CAISO_Combined,CAISO
2013-01-01,43.23312244157728,476800,52.0,37.75,CAISO_Combined,CAISO
2013-02-01,43.52636005577848,653200,51.0,38.0,CAISO_Combined,CAISO
2013-03-01,47.293126864850144,540000,58.0,40.25,CAISO_Combined,CAISO
2013-04-01,52.30970461101195,439200,67.0,41.5,CAISO_Combined,CAISO
2013-05-01,48.83411751037117,448000,64.0,38.5,CAISO_Combined,CAISO
2013-06-01,48.903439873417724,442400,80.0,37.75,CAISO_Combined,CAISO
2013-07-01,62.931418931866084,425600,130.0,40.0,CAISO_Combined,CAISO
2013-08-01,45.210737556561085,488800,56.0,36.75,CAISO_Combined,CAISO
2013-09-01,49.12885546522132,478800,128.0,33.75,CAISO_Combined,CAISO
2013-10-01,41.53576875001575,570400,46.75,34.75,CAISO_Combined,CAISO
2013-11-01,43.50082472081133,482800,50.5,35.9,CAISO_Combined,CAISO
2013-12-01,57.19053798437278,586400,78.0,42.5,CAISO_Combined,CAISO
